,id,pred1,pred2,label,agree,kt,cos_sim
0,0,0,0,False,True,0.3333333333333333,0.7921318941081134
1,1,0,0,False,True,-0.2,0.6915266132700478
2,2,0,0,False,True,0.15555555555555553,0.6861496434015867
3,3,0,0,False,True,0.19999999999999998,0.0
4,4,0,0,False,True,0.19999999999999998,0.9308620010724737
5,5,0,0,False,True,0.37777777777777777,0.851485086684671
6,6,0,0,False,True,0.022222222222222223,0.9498956733669914
7,7,0,0,True,True,-0.3333333333333333,0.8205398316543397
8,8,0,0,False,True,0.15555555555555553,0.8630144693469346
9,9,1,1,True,True,0.39999999999999997,0.0
