,id,pred1,pred2,label,agree,kt,cos_sim
0,0,0,0,False,True,0.9999999999999999,1.0
1,2,0,0,False,True,-0.2,0.7753564969459628
2,3,0,0,True,True,0.8666666666666666,1.0
3,4,0,0,False,True,-0.06666666666666665,0.8712644000797553
4,5,0,0,False,True,,0.0
5,6,0,0,False,True,0.9999999999999999,0.1660672983412074
6,9,0,0,False,True,0.2,0.9661016949152543
7,10,0,0,False,True,0.3333333333333333,0.7298718766571319
8,11,0,0,False,True,,0.0
9,13,0,0,False,True,,0.0
10,14,0,0,False,True,,0.0
11,16,0,0,False,True,0.3333333333333333,0.8484721116045687
12,17,0,0,False,True,0.9999999999999999,0.8951673046482753
13,18,0,0,False,True,,0.0
14,19,0,0,False,True,-0.06666666666666665,0.7978113041395655
15,20,0,0,False,True,0.4666666666666666,0.7683482898122798
16,24,0,0,False,True,0.06666666666666665,0.27296041684200584
17,25,0,0,False,True,-0.06666666666666665,0.7836989162641165
18,27,0,0,False,True,0.6,0.9748832592378591
19,28,0,0,False,True,0.3333333333333333,0.8095923655130037
20,29,0,0,False,True,,0.0
21,32,0,0,False,True,0.9999999999999999,0.9604998698594392
22,35,0,0,False,True,,0.0
23,37,0,0,False,True,0.9999999999999999,0.9248043889897672
24,38,0,0,False,True,0.7333333333333333,0.9890982527541916
25,39,0,0,False,True,0.06666666666666665,0.5131255911961764
26,42,0,0,False,True,-0.06666666666666665,1.0
27,43,0,0,False,True,0.9999999999999999,0.0
28,44,0,0,False,True,0.7333333333333333,0.9401901685609548
29,48,0,0,False,True,,0.0
30,49,0,0,False,True,,0.0
