,id,pred1,pred2,label,agree,kt,cos_sim
0,1,0,0,False,True,-0.3333333333333333,0.08585847770834214
1,2,0,0,False,True,0.4666666666666666,0.4667017786536979
2,3,0,1,True,False,0.06666666666666665,0.6739883316498603
3,4,0,0,False,True,0.4666666666666666,0.9918738900756556
4,5,0,0,False,True,0.4666666666666666,0.6573757351339165
5,6,0,1,False,False,0.6,0.27378703691009704
6,7,0,1,False,False,-0.06666666666666665,0.2531510364644343
7,9,0,1,False,False,0.7333333333333333,0.40857528153788336
8,10,0,1,False,False,0.06666666666666665,0.9402237066553369
9,12,0,0,False,True,0.06666666666666665,0.6347233125357221
10,13,0,0,False,True,0.2,0.7479575920067658
11,14,0,0,False,True,0.4666666666666666,0.9271726499455306
12,15,0,0,False,True,0.6,0.8331080776640383
13,16,0,0,False,True,0.7333333333333333,0.5296394778739674
14,17,0,1,False,False,-0.3333333333333333,0.9288921249047948
15,18,0,1,False,False,0.6,0.3788153220476032
16,19,0,0,False,True,0.8666666666666666,0.7672118338351145
17,20,0,1,False,False,0.3333333333333333,0.9883353184397585
18,21,0,0,False,True,-0.06666666666666665,0.7695600979526565
19,23,0,1,False,False,-0.3333333333333333,0.5988173899253456
20,24,0,0,False,True,0.3333333333333333,0.9822188769315783
21,25,0,1,False,False,0.2,0.8880284173640408
22,26,0,1,True,False,0.06666666666666665,0.07778362977561631
23,27,0,1,False,False,-0.06666666666666665,0.8861459600142396
24,28,0,0,False,True,-0.2,0.7585786599394946
25,29,0,1,False,False,-0.3333333333333333,0.9322980214968376
26,31,0,0,False,True,0.9999999999999999,0.4853241064694356
27,33,0,0,False,True,-0.06666666666666665,0.8547659630031321
28,34,0,1,False,False,0.4666666666666666,0.2988548051769495
29,35,0,0,False,True,0.2,0.9811949522073636
30,37,0,0,False,True,0.2,0.19302200804786207
31,38,0,0,False,True,0.2,0.0
32,39,0,0,False,True,0.06666666666666665,0.4884657718926078
33,40,0,1,False,False,0.6,0.10206207261596574
34,41,0,0,False,True,0.2,0.6780918908527009
35,42,0,1,False,False,-0.6666666666666669,0.6423229840805771
36,43,0,0,False,True,0.06666666666666665,0.5253678187487907
37,45,0,0,False,True,0.6,0.6352099262458155
38,46,1,1,True,True,0.2,0.0
39,47,0,1,True,False,-0.2,0.8573609935745663
40,48,0,0,False,True,0.4666666666666666,0.1748499162851737
