,id,pred1,pred2,label,agree,kt,cos_sim
0,1,0,0,False,True,-0.2,0.4747370161695588
1,2,0,0,False,True,0.6,0.4742593194838878
2,3,1,1,True,True,-0.06666666666666665,0.5810904550800664
3,4,0,0,False,True,0.3333333333333333,0.9999999999999999
4,5,0,0,False,True,0.4666666666666666,0.8838834764831843
5,6,1,1,False,True,0.6,1.0000000000000002
6,7,1,1,False,True,0.06666666666666665,0.45581158214596085
7,9,1,1,False,True,0.8666666666666666,1.0000000000000002
8,10,1,1,False,True,0.2,0.686856763845458
9,12,0,0,False,True,0.7333333333333333,0.5813877328482541
10,13,0,0,False,True,0.3333333333333333,0.612940235943595
11,14,0,0,False,True,0.4666666666666666,1.0
12,15,0,0,False,True,0.7333333333333333,0.7013343843696722
13,16,0,0,False,True,0.7333333333333333,1.0
14,17,1,1,False,True,-0.2,0.7164899014932831
15,18,1,1,False,True,0.4666666666666666,0.9999999999999999
16,19,0,0,False,True,0.8666666666666666,1.0
17,21,0,0,False,True,-0.06666666666666665,0.6923896367587465
18,23,1,1,False,True,-0.3333333333333333,0.5607068531131804
19,26,1,1,True,True,-0.3333333333333333,0.1595040674055789
20,27,1,1,False,True,0.2,0.8832235602849077
21,28,0,0,False,True,0.6,0.7230443993843974
22,29,1,1,False,True,-0.06666666666666665,0.40712208613770917
23,33,0,0,False,True,0.06666666666666665,0.46457566258396366
24,34,1,1,False,True,0.7333333333333333,0.9183979479633063
25,35,0,0,False,True,-0.06666666666666665,0.623873147827782
26,37,0,0,False,True,0.3333333333333333,0.4200412794412907
27,38,0,0,False,True,0.2,0.6460883391661029
28,39,0,0,False,True,0.2,0.42448069577159514
29,41,0,0,False,True,0.4666666666666666,0.6432019047938814
30,42,1,1,False,True,-0.06666666666666665,0.6303578296313003
31,43,0,0,False,True,0.7333333333333333,0.4741252424037352
32,45,0,0,False,True,0.4666666666666666,0.22909210454767118
33,46,1,1,True,True,0.6,0.8431372549019609
34,47,1,1,True,True,-0.06666666666666665,0.37252585172586566
35,48,0,0,False,True,0.8666666666666666,0.318943976924893
