,total_time,tokens,predictions,top_k,faithfulness,model,dataset,uncerta(freq)_sample,uncerta(union)_sample,uncerta(intersection)_sample
0,973.6186587810516,310158.3,6034.0,7,{'uncerta(freq)_sample': 0.0},uncerta(freq)_sample,abt_buy,"{'validity': 0.9999999999833333, 'proximity': 0.7222222222101853, 'sparsity': 0.8194444444307869, 'diversity': 0.0}",,
1,761.136155128479,481243.8,9362.2,7,{'uncerta(union)_sample': 0.0},uncerta(union)_sample,abt_buy,,"{'validity': 0.999999999975, 'proximity': 0.6666666666500001, 'sparsity': 0.8333333333124999, 'diversity': 0.0}",
2,2534.187661886215,643094.2,12507.8,7,{'uncerta(intersection)_sample': 0.0},uncerta(intersection)_sample,abt_buy,,,"{'validity': 0.9999999999833333, 'proximity': 0.7499999999875001, 'sparsity': 0.8124999999864582, 'diversity': 0.0}"
3,2296.7672839164734,732510.1,14227.2,7,{'uncerta(freq)_sample': 0.0},uncerta(freq)_sample,beers,"{'validity': 0.7777777777691358, 'proximity': 0.27777777777469137, 'sparsity': 0.9444444444339506, 'diversity': 0.0}",,
4,536.8624250888824,822806.8,15964.8,7,{'uncerta(union)_sample': 0.0},uncerta(union)_sample,beers,,"{'validity': 0.7777777777691358, 'proximity': 0.27777777777469137, 'sparsity': 0.9444444444339506, 'diversity': 0.0}",
5,539.3220038414001,902623.8,17497.7,7,{'uncerta(intersection)_sample': 0.0},uncerta(intersection)_sample,beers,,,"{'validity': 0.749999999990625, 'proximity': 0.2656249999966797, 'sparsity': 0.9468749999881639, 'diversity': 0.0}"
6,889.6032340526581,1058736.9,20555.2,7,{'uncerta(freq)_sample': 0.0},uncerta(freq)_sample,amazon_google,"{'validity': 0.9999999999888889, 'proximity': 0.9259259259156377, 'sparsity': 0.7685185185099794, 'diversity': 0.0}",,
7,810.2859270572662,1214844.9,23613.2,7,{'uncerta(union)_sample': 0.0},uncerta(union)_sample,amazon_google,,"{'validity': 0.9999999999888889, 'proximity': 0.9259259259156377, 'sparsity': 0.7685185185099794, 'diversity': 0.0}",
8,1756.5231068134308,1370973.3,26671.2,7,{'uncerta(intersection)_sample': 0.0},uncerta(intersection)_sample,amazon_google,,,"{'validity': 0.9999999999888889, 'proximity': 0.9259259259156377, 'sparsity': 0.7685185185099794, 'diversity': 0.0}"
9,1832.9849841594696,1617389.8,31486.8,7,{'uncerta(freq)_sample': 0.0},uncerta(freq)_sample,fodo_zaga,"{'validity': 0.49999999999166667, 'proximity': 0.36111111110509264, 'sparsity': 0.9484126983968916, 'diversity': 0.0}",,
10,3223.991728782654,1848123.7,35993.9,7,{'uncerta(union)_sample': 0.0},uncerta(union)_sample,fodo_zaga,,"{'validity': 0.0, 'proximity': 0.0, 'sparsity': 0.0, 'diversity': 0.0}",
11,4525.977830171585,2125248.1,41411.3,7,{'uncerta(intersection)_sample': 0.0},uncerta(intersection)_sample,fodo_zaga,,,"{'validity': 0.5714285714204081, 'proximity': 0.3452380952331633, 'sparsity': 0.9506802720952624, 'diversity': 0.0}"
12,3152.1360771656036,2254201.8,43890.4,7,{'uncerta(freq)_sample': 0.0},uncerta(freq)_sample,walmart_amazon,"{'validity': 0.8888888888790123, 'proximity': 0.4333333333285185, 'sparsity': 0.9277777777674691, 'diversity': 0.0}",,
13,3187.7873849868774,2372249.1,46148.9,7,{'uncerta(union)_sample': 0.0},uncerta(union)_sample,walmart_amazon,,"{'validity': 0.99999999995, 'proximity': 0.499999999975, 'sparsity': 0.9166666666208333, 'diversity': 0.0}",
14,2968.508961200714,2551721.1,49615.8,7,{'uncerta(intersection)_sample': 0.0},uncerta(intersection)_sample,walmart_amazon,,,"{'validity': 0.99999999995, 'proximity': 0.44999999997749995, 'sparsity': 0.92499999995375, 'diversity': 0.0}"
