id,name,part_number,manufacturer,category,material,weight,price,detailed_description
231,Oil Filter Kit,OFK-231,OilGuard,Filtration,Synthetic,0.3 kg,20.00,"Synthetic oil filter kit designed to remove contaminants and extend engine life."
232,Air Filter Kit,AFK-232,CleanAir,Filtration,Paper,0.4 kg,25.00,"Paper air filter kit designed to trap dust and debris for optimal engine performance."
233,Fuel Filter Kit,FFK-233,FuelFlow,Fuel System,Paper,0.3 kg,20.00,"Paper fuel filter kit designed to remove contaminants and improve fuel system performance."
234,Cabin Air Filter Kit,CAFK-234,CleanAir,Filtration,Paper,0.2 kg,15.00,"Paper cabin air filter kit designed to remove dust and allergens for improved air quality."
235,Engine Oil,EO-235,OilGuard,Lubrication,Synthetic,4.0 kg,30.00,"Synthetic engine oil designed for optimal engine performance and protection."
236,Transmission Oil,TO-236,OilGuard,Lubrication,Synthetic,3.0 kg,25.00,"Synthetic transmission oil designed for smooth shifting and long-lasting performance."
237,Brake Fluid,BF-237,BrakeSafe,Fluids,Synthetic,0.5 kg,15.00,"Synthetic brake fluid designed for reliable braking performance."
238,Power Steering Fluid,PSF-238,SteerEase,Fluids,Synthetic,0.5 kg,15.00,"Synthetic power steering fluid designed for smooth and effortless steering."
239,Coolant,CL-239,CoolFlow,Cooling,Liquid,2.0 kg,10.00,"Liquid coolant designed for efficient cooling and engine protection."
240,Windshield Washer Fluid,WWF-240,GlassGuard,Fluids,Liquid,1.0 kg,5.00,"Liquid windshield washer fluid designed for clear visibility and safety."
241,Battery Charger,BC-241,PowerPlus,Electrical,Plastic,2.0 kg,50.00,"Plastic battery charger designed for reliable and efficient battery charging."
242,Jumper Cables,JC-242,PowerPlus,Electrical,Copper,1.5 kg,20.00,"Copper jumper cables designed for emergency battery charging."
243,Tire Pressure Gauge,TPG-243,TireSafe,Tools,Steel,0.2 kg,10.00,"Steel tire pressure gauge designed for accurate tire pressure measurement."
244,Tire Inflator,TI-244,TireSafe,Tools,Plastic,1.0 kg,20.00,"Plastic tire inflator designed for easy and convenient tire inflation."
245,Jack Stand,JS-245,LiftMaster,Tools,Steel,5.0 kg,30.00,"Steel jack stand designed for safe and stable vehicle lifting."
246,Floor Jack,FJ-246,LiftMaster,Tools,Steel,10.0 kg,50.00,"Steel floor jack designed for easy and safe vehicle lifting."
247,Socket Set,SS-247,ToolMaster,Tools,Steel,3.0 kg,40.00,"Steel socket set designed for a wide range of repair and maintenance tasks."
248,Wrench Set,WS-248,ToolMaster,Tools,Steel,2.5 kg,35.00,"Steel wrench set designed for a wide range of repair and maintenance tasks."
249,Screwdriver Set,SDS-249,ToolMaster,Tools,Steel,1.0 kg,20.00,"Steel screwdriver set designed for a wide range of repair and maintenance tasks."
250,Pliers Set,PS-250,ToolMaster,Tools,Steel,1.5 kg,25.00,"Steel pliers set designed for a wide range of repair and maintenance tasks."
251,Air Compressor,AC-251,ToolMaster,Tools,Steel,15.0 kg,100.00,"Steel air compressor designed for a wide range of repair and maintenance tasks."
252,Impact Wrench,IW-252,ToolMaster,Tools,Steel,3.0 kg,50.00,"Steel impact wrench designed for a wide range of repair and maintenance tasks."
253,Drill Set,DS-253,ToolMaster,Tools,Steel,2.0 kg,30.00,"Steel drill set designed for a wide range of repair and maintenance tasks."
254,Sander,SD-254,ToolMaster,Tools,Steel,1.5 kg,25.00,"Steel sander designed for a wide range of repair and maintenance tasks."
255,Grinder,GR-255,ToolMaster,Tools,Steel,2.0 kg,30.00,"Steel grinder designed for a wide range of repair and maintenance tasks."
256,Welding Machine,WM-256,ToolMaster,Tools,Steel,20.0 kg,200.00,"Steel welding machine designed for a wide range of repair and maintenance tasks."
257,Paint Sprayer,PS-257,ToolMaster,Tools,Steel,5.0 kg,80.00,"Steel paint sprayer designed for a wide range of repair and maintenance tasks."
258,Air Filter Housing,AFH-258,CleanAir,Filtration,Plastic,0.5 kg,15.00,"Plastic air filter housing designed for optimal air filtration."
259,Oil Filter Housing,OFH-259,OilGuard,Filtration,Plastic,0.5 kg,15.00,"Plastic oil filter housing designed for optimal oil filtration."
260,Fuel Filter Housing,FFH-260,FuelFlow,Fuel System,Plastic,0.5 kg,15.00,"Plastic fuel filter housing designed for optimal fuel filtration."
261,Cabin Air Filter Housing,CAFH-261,CleanAir,Filtration,Plastic,0.5 kg,15.00,"Plastic cabin air filter housing designed for optimal air filtration."
262,Engine Oil Filter,EOF-262,OilGuard,Filtration,Synthetic,0.3 kg,15.00,"Synthetic engine oil filter designed to remove contaminants and extend engine life."
263,Transmission Oil Filter,TOF-263,OilGuard,Filtration,Synthetic,0.3 kg,15.00,"Synthetic transmission oil filter designed to remove contaminants and extend transmission life."
264,Brake Fluid Filter,BFF-264,BrakeSafe,Filtration,Synthetic,0.3 kg,15.00,"Synthetic brake fluid filter designed to remove contaminants and extend brake system life."
265,Power Steering Fluid Filter,PSFF-265,SteerEase,Filtration,Synthetic,0.3 kg,15.00,"Synthetic power steering fluid filter designed to remove contaminants and extend steering system life."
266,Coolant Filter,CF-266,CoolFlow,Filtration,Synthetic,0.3 kg,15.00,"Synthetic coolant filter designed to remove contaminants and extend cooling system life."
267,Windshield Washer Fluid Filter,WWFF-267,GlassGuard,Filtration,Synthetic,0.3 kg,15.00,"Synthetic windshield washer fluid filter designed to remove contaminants and extend washer system life."
268,Battery Charger Cable,BCC-268,PowerPlus,Electrical,Copper,0.5 kg,10.00,"Copper battery charger cable designed for reliable and efficient battery charging."
269,Jumper Cable Set,JCS-269,PowerPlus,Electrical,Copper,1.0 kg,15.00,"Copper jumper cable set designed for emergency battery charging."
270,Tire Pressure Gauge Set,TPGS-270,TireSafe,Tools,Steel,0.3 kg,15.00,"Steel tire pressure gauge set designed for accurate tire pressure measurement."
271,Tire Inflator Kit,TIK-271,TireSafe,Tools,Plastic,1.5 kg,25.00,"Plastic tire inflator kit designed for easy and convenient tire inflation."
272,Jack Stand Set,JSS-272,LiftMaster,Tools,Steel,7.0 kg,40.00,"Steel jack stand set designed for safe and stable vehicle lifting."
273,Floor Jack Set,FJS-273,LiftMaster,Tools,Steel,15.0 kg,70.00,"Steel floor jack set designed for easy and safe vehicle lifting."
274,Socket Set Kit,SSK-274,ToolMaster,Tools,Steel,4.0 kg,50.00,"Steel socket set kit designed for a wide range of repair and maintenance tasks."
275,Wrench Set Kit,WSK-275,ToolMaster,Tools,Steel,3.5 kg,45.00,"Steel wrench set kit designed for a wide range of repair and maintenance tasks."
276,Screwdriver Set Kit,SDSK-276,ToolMaster,Tools,Steel,1.5 kg,25.00,"Steel screwdriver set kit designed for a wide range of repair and maintenance tasks."
277,Pliers Set Kit,PSK-277,ToolMaster,Tools,Steel,2.0 kg,30.00,"Steel pliers set kit designed for a wide range of repair and maintenance tasks."
278,Air Compressor Kit,ACK-278,ToolMaster,Tools,Steel,20.0 kg,120.00,"Steel air compressor kit designed for a wide range of repair and maintenance tasks."
279,Impact Wrench Kit,IWK-279,ToolMaster,Tools,Steel,4.0 kg,60.00,"Steel impact wrench kit designed for a wide range of repair and maintenance tasks."
280,Drill Set Kit,DSK-280,ToolMaster,Tools,Steel,2.5 kg,35.00,"Steel drill set kit designed for a wide range of repair and maintenance tasks."
281,Sander Kit,SDK-281,ToolMaster,Tools,Steel,2.0 kg,30.00,"Steel sander kit designed for a wide range of repair and maintenance tasks."
282,Grinder Kit,GRK-282,ToolMaster,Tools,Steel,2.5 kg,35.00,"Steel grinder kit designed for a wide range of repair and maintenance tasks."
283,Welding Machine Kit,WMK-283,ToolMaster,Tools,Steel,25.0 kg,220.00,"Steel welding machine kit designed for a wide range of repair and maintenance tasks."
284,Paint Sprayer Kit,PSK-284,ToolMaster,Tools,Steel,7.0 kg,90.00,"Steel paint sprayer kit designed for a wide range of repair and maintenance tasks."
285,Air Filter Housing Kit,AFHK-285,CleanAir,Filtration,Plastic,0.7 kg,20.00,"Plastic air filter housing kit designed for optimal air filtration."
286,Oil Filter Housing Kit,OFHK-286,OilGuard,Filtration,Plastic,0.7 kg,20.00,"Plastic oil filter housing kit designed for optimal oil filtration."
287,Fuel Filter Housing Kit,FFHK-287,FuelFlow,Fuel System,Plastic,0.7 kg,20.00,"Plastic fuel filter housing kit designed for optimal fuel filtration."
288,Cabin Air Filter Housing Kit,CAFHK-288,CleanAir,Filtration,Plastic,0.7 kg,20.00,"Plastic cabin air filter housing kit designed for optimal air filtration."
289,Engine Oil Filter Kit,EOFK-289,OilGuard,Filtration,Synthetic,0.4 kg,20.00,"Synthetic engine oil filter kit designed to remove contaminants and extend engine life."
290,Transmission Oil Filter Kit,TOFK-290,OilGuard,Filtration,Synthetic,0.4 kg,20.00,"Synthetic transmission oil filter kit designed to remove contaminants and extend transmission life."
291,Brake Fluid Filter Kit,BFFK-291,BrakeSafe,Filtration,Synthetic,0.4 kg,20.00,"Synthetic brake fluid filter kit designed to remove contaminants and extend brake system life."
292,Power Steering Fluid Filter Kit,PSFFK-292,SteerEase,Filtration,Synthetic,0.4 kg,20.00,"Synthetic power steering fluid filter kit designed to remove contaminants and extend steering system life."
293,Coolant Filter Kit,CFK-293,CoolFlow,Filtration,Synthetic,0.4 kg,20.00,"Synthetic coolant filter kit designed to remove contaminants and extend cooling system life."
294,Windshield Washer Fluid Filter Kit,WWFFK-294,GlassGuard,Filtration,Synthetic,0.4 kg,20.00,"Synthetic windshield washer fluid filter kit designed to remove contaminants and extend washer system life."
295,Battery Charger Cable Kit,BCC-295,PowerPlus,Electrical,Copper,0.7 kg,15.00,"Copper battery charger cable kit designed for reliable and efficient battery charging."
296,Jumper Cable Set Kit,JCSK-296,PowerPlus,Electrical,Copper,1.5 kg,20.00,"Copper jumper cable set kit designed for emergency battery charging."
297,Tire Pressure Gauge Set Kit,TPGSK-297,TireSafe,Tools,Steel,0.4 kg,20.00,"Steel tire pressure gauge set kit designed for accurate tire pressure measurement."
298,Tire Inflator Kit Set,TIKS-298,TireSafe,Tools,Plastic,2.0 kg,30.00,"Plastic tire inflator kit set designed for easy and convenient tire inflation."
299,Jack Stand Set Kit,JSSK-299,LiftMaster,Tools,Steel,8.0 kg,50.00,"Steel jack stand set kit designed for safe and stable vehicle lifting."
300,Floor Jack Set Kit,FJSK-300,LiftMaster,Tools,Steel,20.0 kg,80.00,"Steel floor jack set kit designed for easy and safe vehicle lifting."
301,Socket Set Kit Set,SSKSK-301,ToolMaster,Tools,Steel,5.0 kg,60.00,"Steel socket set kit set designed for a wide range of repair and maintenance tasks."
302,Wrench Set Kit Set,WSKSK-302,ToolMaster,Tools,Steel,4.5 kg,55.00,"Steel wrench set kit set designed for a wide range of repair and maintenance tasks."
