id,name,part_number,manufacturer,category,material,weight,price,detailed_description
1,Turbocharger Kit,TK-001,TurboTech,Engine,Aluminum,5.5 kg,450.00,"High-performance turbocharger kit designed to increase engine power and efficiency."
2,Brake Pad Set,BP-002,StopSafe,Brakes,Ceramic,0.8 kg,75.00,"Premium ceramic brake pads for improved stopping power and reduced brake dust."
3,Alloy Wheel,AW-003,WheelWorks,Wheels,Aluminum Alloy,7.2 kg,250.00,"Lightweight and stylish alloy wheels designed for performance and aesthetics."
4,Air Filter,AF-004,CleanAir,Filtration,Paper,0.3 kg,20.00,"High-efficiency air filter designed to trap dust and debris for optimal engine performance."
5,Spark Plug,SP-005,SparkMaster,Ignition,Copper,0.1 kg,5.00,"Copper spark plugs designed for reliable ignition and long service life."
6,Oil Filter,OF-006,OilGuard,Filtration,Synthetic,0.2 kg,15.00,"Synthetic oil filter designed to remove contaminants and extend engine life."
7,Exhaust Muffler,EM-007,MufflerMax,Exhaust,Stainless Steel,4.5 kg,150.00,"Stainless steel exhaust muffler designed for reduced noise and improved performance."
8,Shock Absorber,SA-008,SmoothRide,Suspension,Steel,2.0 kg,100.00,"High-quality shock absorbers designed for a smooth and comfortable ride."
9,Radiator,RAD-009,CoolFlow,Cooling,Aluminum,3.5 kg,120.00,"Aluminum radiator designed for efficient cooling and long-lasting performance."
10,Fuel Pump,FP-010,FuelFlow,Fuel System,Steel,1.5 kg,80.00,"High-performance fuel pump designed for reliable fuel delivery."
11,Headlight Assembly,HA-011,LightBright,Lighting,Plastic,1.2 kg,100.00,"Complete headlight assembly designed for improved visibility and style."
12,Windshield Wiper Blade,WWB-012,WiperWiz,Wipers,Rubber,0.2 kg,15.00,"Premium rubber wiper blades designed for streak-free cleaning."
13,Catalytic Converter,CC-013,CleanExhaust,Exhaust,Stainless Steel,5.0 kg,300.00,"Stainless steel catalytic converter designed to reduce harmful emissions."
14,Battery,BAT-014,PowerPlus,Electrical,Lead-Acid,15.0 kg,120.00,"High-capacity lead-acid battery designed for reliable starting power."
15,Clutch Kit,CK-015,ClutchMaster,Transmission,Steel,3.0 kg,200.00,"Complete clutch kit designed for smooth shifting and long-lasting performance."
16,Water Pump,WP-016,WaterWorks,Cooling,Cast Iron,1.8 kg,60.00,"Cast iron water pump designed for efficient cooling and durability."
17,Timing Belt,TB-017,BeltMaster,Engine,Rubber,0.5 kg,30.00,"High-quality timing belt designed for precise engine timing."
18,Alternator,ALT-018,PowerGen,Electrical,Aluminum,3.5 kg,150.00,"Aluminum alternator designed for reliable electrical power generation."
19,Power Steering Pump,PSP-019,SteerEase,Steering,Steel,2.5 kg,120.00,"Power steering pump designed for smooth and effortless steering."
20,Fuel Injector,FI-020,InjectMaster,Fuel System,Steel,0.3 kg,50.00,"High-performance fuel injector designed for precise fuel delivery."
21,Axle Shaft,AS-021,AxlePro,Drivetrain,Steel,8.0 kg,250.00,"Durable steel axle shaft designed for reliable power transfer."
22,CV Joint,CVJ-022,JointMaster,Drivetrain,Steel,1.5 kg,80.00,"High-quality CV joint designed for smooth and reliable operation."
23,Radiator Fan,RF-023,CoolBreeze,Cooling,Plastic,0.8 kg,40.00,"Efficient radiator fan designed for optimal cooling performance."
24,Starter Motor,SM-024,StartRight,Electrical,Steel,3.0 kg,100.00,"Reliable starter motor designed for easy engine starting."
