ltable_id,rtable_id,label
121,191,1
122,192,1
123,193,1
124,194,1
125,195,1
126,196,1
127,197,1
128,198,1
129,199,1
130,200,1
131,201,1
132,202,1
133,203,1
134,204,1
135,205,1
136,206,1
137,207,1
138,208,1
139,209,1
140,210,1
141,211,1
142,212,1
143,213,1
144,214,1
145,215,1
146,216,1
147,217,1
148,218,1
149,219,1
150,220,1
151,221,1
152,222,1
153,223,1
154,224,1
155,225,1
156,226,1
157,227,1
158,228,1
159,229,1
160,230,1
121,122,0
123,124,0
125,126,0
127,128,0
129,130,0
131,132,0
133,134,0
135,136,0
137,138,0
139,140,0
141,142,0
143,144,0
145,146,0
147,148,0
149,150,0
151,152,0
153,154,0
155,156,0
157,158,0
159,160,0
161,162,0
163,164,0
165,166,0
167,168,0
169,170,0
171,172,0
173,174,0
175,176,0
177,178,0
179,180,0
181,182,0
183,184,0
185,186,0
187,188,0
189,190,0
191,192,0
193,194,0
195,196,0
197,198,0
199,200,0
201,202,0
203,204,0
205,206,0
207,208,0
209,210,0
211,212,0
213,214,0
215,216,0
217,218,0
219,220,0
221,222,0
223,224,0
225,226,0
227,228,0
229,230,0
865,973,1
866,974,1
867,975,1
868,976,1
869,977,1
870,978,1
871,979,1
872,980,1
873,981,1
874,982,1
875,983,1
876,984,1
877,985,1
878,986,1
879,987,1
880,988,1
881,989,1
882,990,1
883,991,1
884,992,1
885,993,1
886,994,1
887,995,1
888,996,1
889,997,1
890,998,1
891,999,1
892,1000,1
708,600,1
607,715,1
609,717,1
610,718,1
611,719,1
612,720,1
613,721,1
614,722,1
700,600,0
701,600,0
702,600,0
703,600,0
704,600,0
705,600,0
706,600,0
707,600,0
708,601,0
709,601,0
710,601,0
711,601,0
712,601,0
713,601,0
714,601,0
715,601,0
716,601,0
717,601,0
718,601,0
719,601,0
720,601,0
721,601,0
722,601,0
601,700,0
602,700,0
603,700,0
604,700,0
605,700,0
606,700,0
607,700,0
608,700,0
609,700,0
610,700,0
611,700,0
612,700,0
613,700,0
614,700,0
615,700,0
616,700,0
617,700,0
618,700,0
619,700,0
620,700,0
892,700,0
893,700,0
894,700,0
895,700,0
186,229,0
187,229,0
188,229,0
189,229,0
190,229,0
191,229,0
192,229,0
193,229,0
194,229,0
195,229,0
196,229,0
197,229,0
198,229,0
199,229,0
200,229,0
201,229,0
202,229,0
203,351,1
204,362,1
205,362,1
206,365,1
207,365,1
208,366,1
209,367,1
210,368,1
211,369,1
212,370,1
213,371,1
214,372,1
215,373,1
216,374,1
217,375,1
218,376,1
219,377,1
220,378,1
228,386,1
229,186,1
230,186,1
231,187,1
232,187,1
233,188,1
234,188,1
