,total_time,tokens,predictions,top_k,faithfulness,model,dataset,uncerta(freq)_sample,uncerta(union)_sample,uncerta(intersection)_sample
0,6593.379036903381,6106437.1,118961.4,10,{'uncerta(freq)_sample': 0.0},uncerta(freq)_sample,abt_buy,"{'validity': 0.9999999999, 'proximity': 0.49999999995, 'sparsity': 0.8749999999125, 'diversity': 0.0}",,
1,13403.364777803421,16547289.0,322529.0,10,{'uncerta(union)_sample': 0.0},uncerta(union)_sample,abt_buy,,"{'validity': 0.99999999995, 'proximity': 0.499999999975, 'sparsity': 0.87499999995625, 'diversity': 0.0}",
2,3021.2769570350647,18543731.3,361415.7,10,{'uncerta(intersection)_sample': 0.0},uncerta(intersection)_sample,abt_buy,,,"{'validity': 0.9999999999, 'proximity': 0.6666666666000001, 'sparsity': 0.8333333332499999, 'diversity': 0.0}"
3,13999.82933306694,20871942.9,406635.6,10,{'uncerta(freq)_sample': 0.0},uncerta(freq)_sample,beers,"{'validity': 0.4999999999875, 'proximity': 0.21874999999453126, 'sparsity': 0.9562499999760937, 'diversity': 0.0}",,
4,2298.0276210308075,23704721.0,461611.8,10,{'uncerta(union)_sample': 0.0},uncerta(union)_sample,beers,,"{'validity': 0.4999999999875, 'proximity': 0.21874999999453126, 'sparsity': 0.9562499999760937, 'diversity': 0.0}",
5,10258.860314846039,26225899.9,510606.5,10,{'uncerta(intersection)_sample': 0.0},uncerta(intersection)_sample,beers,,,"{'validity': 0.0, 'proximity': 0.2499999999875, 'sparsity': 0.9499999999525, 'diversity': 0.0}"
6,1205.9514989852905,26402647.7,514069.9,10,{'uncerta(freq)_sample': 0.0},uncerta(freq)_sample,amazon_google,"{'validity': 0.0, 'proximity': 0.0, 'sparsity': 0.0, 'diversity': 0.0}",,
7,1396.1777029037476,26583592.8,517615.6,10,{'uncerta(union)_sample': 0.0},uncerta(union)_sample,amazon_google,,"{'validity': 0.0, 'proximity': 0.0, 'sparsity': 0.0, 'diversity': 0.0}",
8,342.57272696495056,26755210.0,520978.4,10,{'uncerta(intersection)_sample': 0.0},uncerta(intersection)_sample,amazon_google,,,"{'validity': 0.0, 'proximity': 0.0, 'sparsity': 0.0, 'diversity': 0.0}"
9,12404.904319286346,27755684.2,540484.5,10,{'uncerta(freq)_sample': 0.0},uncerta(freq)_sample,fodo_zaga,"{'validity': 0.499999999975, 'proximity': 0.29166666665208335, 'sparsity': 0.9583333332854166, 'diversity': 0.0}",,
10,5612.305712938309,28958389.0,563925.1,10,{'uncerta(union)_sample': 0.0},uncerta(union)_sample,fodo_zaga,,"{'validity': 0.499999999975, 'proximity': 0.29166666665208335, 'sparsity': 0.9583333332854166, 'diversity': 0.0}",
11,4969.244691371918,29755201.2,579441.0,10,{'uncerta(intersection)_sample': 0.0},uncerta(intersection)_sample,fodo_zaga,,,"{'validity': 0.0, 'proximity': 0.41666666662500007, 'sparsity': 0.9404761903821428, 'diversity': 0.0}"
12,3602.4309079647064,30583706.6,595067.4,10,{'uncerta(freq)_sample': 0.0},uncerta(freq)_sample,walmart_amazon,"{'validity': 0.99999999998, 'proximity': 0.4199999999915999, 'sparsity': 0.9299999999814, 'diversity': 0.0}",,
13,8190.621210098267,31631309.0,614711.0,10,{'uncerta(union)_sample': 0.0},uncerta(union)_sample,walmart_amazon,,"{'validity': 0.99999999998, 'proximity': 0.4199999999915999, 'sparsity': 0.9299999999814, 'diversity': 0.0}",
14,5343.727644920349,31953865.6,621003.5,10,{'uncerta(intersection)_sample': 0.0},uncerta(intersection)_sample,walmart_amazon,,,"{'validity': 0.999999999975, 'proximity': 0.42499999998937493, 'sparsity': 0.9291666666434375, 'diversity': 0.0}"
