ltable_id,rtable_id,label
2900433,6082212,0
15096871,12141375,0
9625896,10455687,0
10517333,16996592,0
10509597,4907487,0
1165070,17283627,1
5280656,16399243,0
14839612,15757419,1
4679608,3971067,0
17100990,11150432,1
15508575,14828299,0
16126053,13791473,0
8804841,15138636,0
11169144,2399067,0
13716594,11845761,0
3517367,5120480,1
16101932,17239248,0
4833746,1801899,0
526803,10010468,0
15115350,1812810,0
14110666,13947642,0
10614670,3707004,0
16081060,907076,1
12616697,711742,0
13380313,8823650,0
1433352,14285045,0
10583636,5925421,0
15971429,17145597,0
13754486,16600473,0
15788739,13774363,0
6523632,7259888,1
6837620,10758350,0
13240942,3581492,0
15096871,8707752,0
10350043,3457650,1
8850279,860589,1
7590508,9097895,1
16901344,5890133,0
12322819,7776082,0
16422707,7516973,0
16108965,12765238,0
15405592,16024685,1
7470429,15196619,0
8449953,3189483,0
7104140,15701832,0
4001956,15180179,0
7744025,10423932,0
11977947,2013090,0
16342483,16314634,0
8839978,12626208,1
1139124,10556983,1
14746003,16780159,0
11143527,16646720,0
3693409,6139101,0
11285854,16684758,0
11216958,8201751,1
12142659,8355910,0
14478975,10996029,0
16458343,6064544,0
5837762,15243282,0
8011529,12765238,0
826632,7882933,1
13116850,15109550,0
14736342,10732305,0
3386822,15180179,0
16489038,17268127,1
12492519,5657275,0
6529940,4919356,0
16778646,3097981,0
3555963,7138362,1
14434003,17550301,1
16810754,4665999,1
6177010,15320160,0
16593660,16934189,0
14827107,17508779,0
17100990,17293659,0
16426356,12721711,0
17500102,17293659,0
16638707,4679313,1
10556939,14306688,0
16791479,9123865,1
2502766,2420412,0
8477787,12461755,1
5280656,5874111,0
5959658,4738051,0
16248518,7402991,1
2080286,2906891,0
2378342,1791226,0
2080551,10034241,0
15809221,7151181,1
11931213,289398,0
16533678,7039592,0
15343034,3479404,0
14553095,17210073,0
9597761,11805782,0
13050051,5282656,1
8124195,9397439,0
10309406,12834289,0
11143527,14376651,0
11096537,6546768,0
8865535,1334355,0
6156904,13490347,0
10734723,1779762,0
16593660,8719880,1
15823601,5363208,0
17266404,16870056,0
17278376,5732487,0
7383973,15766263,0
1779762,11923155,0
1312069,16236830,1
15869061,16761997,0
5675932,15809958,0
2925361,5985398,0
123661,6442610,1
13648647,15165864,0
17382182,6134650,0
4301053,9002894,0
10185357,16705623,0
3108565,14148871,1
17213617,879347,0
13957999,13476930,0
16802006,5855402,0
3685781,15561060,0
11221699,2512633,1
10837098,403791,0
12696818,12621996,0
14693750,17340383,0
2172951,15118443,0
15185235,8729772,0
13502741,10203762,0
13225461,15636133,0
13900383,9054133,0
5805206,3187966,0
16050775,7459360,1
7351838,5710101,0
16067015,2128045,0
15788739,353853,0
5971099,14010414,1
12863801,16576395,1
13957999,8595862,1
4365537,1029684,1
12955573,3479404,0
9677357,10285617,0
9002894,5756721,0
17069245,4030253,0
15149737,1707457,1
8500065,8831572,0
17267687,11048986,0
3869145,13559679,0
1779762,17210073,0
11457390,8488391,0
17281818,14861023,0
10350043,11992317,0
4590980,11599278,0
14678542,11268840,0
6870932,10786223,1
17376831,6837620,0
14934871,15506825,0
8246047,16662665,1
1779762,5405210,0
16556798,3208759,1
7028004,15149737,0
2064070,13913064,0
17112017,17340383,0
15109550,10087278,0
12519443,14011807,0
12986488,6533958,0
16848974,14910141,0
15156642,8783023,0
9597761,10442426,0
5651435,3189483,0
11502842,6098599,0
4097037,16399243,0
15251616,13182662,0
2049050,11152892,0
9641125,12108180,1
16583476,16182625,1
2284502,13872038,1
15746737,16399243,0
4401122,1138194,0
9871004,7509384,0
2013090,9584615,0
8679099,16449910,0
7658403,121570,0
5280656,13871276,1
9571431,15185235,1
8135204,3612818,0
7930266,12616697,0
14638651,2420412,0
8823650,15437302,0
15845523,9417456,0
14360710,7757986,0
17557436,15995548,1
9647072,14290530,1
8652901,11984747,1
9952187,8788623,1
14306688,10921507,0
1707457,9734824,0
8783023,2399067,1
16688994,11482981,0
15510982,5680468,0
16011361,15310118,0
420315,7508858,1
13754486,13946120,1
8017594,8804841,0
16411613,10279661,1
11346215,2512633,0
11113737,16627915,1
8346691,11928651,0
9232669,3538959,0
1921371,11874821,0
9015238,14612410,0
3108565,10701721,0
1825800,17557293,0
14155624,16399243,0
949596,8135204,0
16870056,17520729,1
16007349,128426,0
5710101,1022937,0
16058948,17344229,1
7087790,1306250,0
11217577,6772194,1
4185624,5016946,1
15565778,15695835,1
9290711,17277437,0
11931730,9187025,0
3850055,9708449,0
2282830,11928651,0
13015900,11268840,1
9063687,17378561,1
14196557,12353133,1
5303723,15519505,1
12597017,14746003,0
13089772,8123260,0
9167370,15096871,0
17239248,3703854,0
13302256,10309406,0
5379866,11354422,0
14187697,6575483,0
17279299,6032490,0
8686935,11923155,0
13263761,15123137,0
8464290,6698203,0
11727821,8759007,0
8500065,13540024,0
17536135,17340383,0
13206409,5932627,0
9002894,8679099,1
12799263,13544859,1
8449953,10614670,1
6724047,11275094,1
11369458,1489262,1
11992317,2013090,0
6517713,2889973,0
16688994,4297794,0
15730910,3650411,0
1782050,5712523,0
2766025,16780159,0
9092200,12904126,0
8763361,13957999,0
13239872,4723521,0
3684550,1631819,1
16369740,8686935,0
4778715,15442631,1
6458188,15985653,0
5670123,16598757,1
5410116,3538959,0
9187025,14176060,0
14327056,674055,0
14187697,4627974,0
12275950,289398,0
16525899,9139432,1
1334355,7081948,0
15243282,9290913,1
8046868,16780159,0
2149871,12348420,0
11599278,4381781,0
549897,3127121,0
16865895,16600473,0
8838887,2399067,0
16215967,16688994,0
4999164,2149871,1
12377834,4543254,0
2018959,15180179,0
10834162,13891749,0
9732558,15561158,0
4018173,2194978,0
17359100,6463278,0
13099250,15374923,0
13966808,161803,0
11470113,3189483,0
5704614,12822806,1
11102639,8612867,0
12834289,879347,0
2941676,12815600,0
3581492,12189397,0
920880,16978067,0
758702,17544818,0
13303931,2018959,0
16085391,16314634,0
16525899,14370030,0
4001956,3097981,0
655523,15561179,0
3940599,7666385,0
7930266,10172881,1
9589571,9392890,0
15280820,2426118,0
13957999,15196619,0
3110051,11182057,0
14079159,10530958,1
14972996,11811155,1
10614670,14113434,0
16450491,10701721,1
1871054,2906891,1
17446926,1079834,1
11968417,16108965,0
5974423,12139457,0
3852205,879347,0
3097981,1779762,0
16497758,16581936,1
8244606,8612867,0
2064112,6845099,0
12202737,8894367,0
9371535,3784905,0
5206328,1163136,0
16313033,12280000,0
2956284,1812810,0
6505446,3292505,0
1003691,2643276,1
13145526,15641249,1
3867272,14408595,1
2064070,1707457,0
16236830,8346691,0
14187697,12686174,1
3314858,6517713,0
13864437,670188,1
410023,2018959,0
13021278,2791863,0
6473393,12443158,0
14852545,13909932,0
11346215,8838887,1
2899592,10309406,0
1813777,17127465,1
9500680,11419402,0
14505351,11443061,0
13888075,12569673,0
1232194,11791807,0
15882056,15999688,0
3705669,12141375,0
15097652,3729896,0
10509279,14910141,0
12895990,11143527,1
3270613,8858434,0
12760639,15165864,0
16696564,17112017,0
1919493,12815556,0
13557980,4606447,0
12069212,14327056,1
9099865,6092371,0
17119150,1015454,0
12887752,1919493,0
10130997,15077277,0
8763361,9130342,0
17517837,14354017,0
13540024,16761997,1
12108544,10308084,0
4083030,5312439,1
13116850,2128045,1
13321306,9132060,1
15077277,8366659,1
10457077,4274682,1
11018052,17000198,0
17338387,15374923,0
2426118,13684177,1
9584615,14910141,0
12616697,15508575,0
3097981,10279661,0
16058948,13230309,0
12515370,17401560,0
8205766,1306250,0
3651101,17451693,0
4401122,7347906,0
2352446,7106626,1
5676216,4121111,0
17018062,12108544,0
11490723,9515193,0
14319984,3331790,0
15091640,13378285,0
5932627,16178812,1
521798,13523941,0
16886705,6345298,0
7087790,1659433,0
8243957,16066296,0
16481196,17340383,0
8188343,11331181,0
16631590,15185235,0
11351252,14050431,0
16088777,15170431,0
16418135,4352502,0
8972521,14906418,0
816992,9558382,0
12855039,6025778,0
4486875,6082212,0
8612867,10993194,0
11364543,13630765,0
4255590,15695835,0
6023723,15481784,0
16502144,4007688,0
1703562,16274291,0
12557044,4543586,0
15458992,1029684,0
14434003,161803,0
13046037,16996592,0
8420324,3127506,0
14623414,161803,1
17557374,5977205,0
16248518,15995548,0
9986497,11791807,0
3644685,17065532,0
14196557,7585770,0
7964372,687247,0
655523,9022956,1
15109280,16825738,0
13302256,3172055,0
12519443,14458296,1
17000198,12131666,0
14848629,3064599,0
17356285,13648647,0
16150456,1306250,0
9880273,16676911,0
10227512,5299054,1
15708200,4141582,0
8365996,16146854,0
13909932,2046472,0
991907,4062127,0
14376651,893977,0
1138194,13328833,1
12131666,11013824,1
2172951,14425363,0
7684273,9986497,0
6057219,1334355,0
3738515,16289934,0
897046,15985113,0
17282825,4097037,0
9701066,14635088,0
16088835,1791226,0
13913064,11811155,0
7456642,16999928,0
15995548,17557444,0
14946096,12259036,1
509582,16285333,0
14584339,11443061,0
9625896,16646720,1
17341458,16215967,0
17324700,16167838,0
9524421,4048778,0
14556148,2625,0
15272316,3319622,1
4409659,1919493,0
3127121,13476930,0
2793703,8371053,1
11216958,17160200,0
