offer_id,category,cluster_id,brand,title,description,price,specTableContent
2900433,Computers_and_Accessories,387759,," ""Transcend 64GB microSDXC UHS-I 300x, Class 10""@en 300x 10 (TS64GUSDU1)""@en",,,
15096871,Camera_and_Photo,83432,," ""Sigma 50mm F1.4 DG HSM Art (Nikon) ""@en Aden Camera Digital Cameras Toronto Canada Store "" Sigma | SLR","""
                        The staple Sigma 50mm F1.4 DG HSM has been redesigned and reengineered to set a new standard for the Art line. With a large F1.4 aperture, the Sigma 50mm F1.4 prime lens is pro level performer for shooting everything including portrait photography, landscape photography, studio photography and street photography. A Hyper Sonic Motor (HSM) ensures quiet, smooth and accurate autofocusing and paired with Special Low Dispersion (SLD) glass and Super Multi-Layer coating, the 50mm F1.4 is a high performance lens for modern DSLR sensors. 13 elements in 8 groups allow for unsurpassed performance even at wide apertures and close-up photography is easily managed with a minimum focusing distance of 40cm. The Sigma 50mm F1.4 lens is the new exceptional standard, standard prime.Main Features:

Completely redesigned and reengineered
Exceptional Image Quality
Incredible focal point sharpness when wide open
Pairs well with Pro-Level DSLR's
MTF A1-tested
Aperture Range: F1.4 to F16
One Molded Glass Aspherical Element
Three Special Low Dispersion Elements
Super Multi-Layer Coating
Floating System & Large Diameter Design
Hyper Sonic AF Motor
Rounded Nine-Blade Diaphragm
Thermally Stable Composite Material
Brass Bayonet Mount
Compatible with Sigma USB Dock

7 Year Sigma Canada Warranty
                    ""@en ",," Manufacturer: Sigma Sku #: A50DGHN Our Price: To See Product Details, add to your cart Sigma 50mm F1.4 DG HSM Art (Nikon) Our Price: $1,049.00 Close MSRP: $1,199.95 Quantity:   Availability: In Stock FREE SHIPPING WITHIN CANADA!"
9625896,Camera_and_Photo,181644,," ""Nikkor AF-S 50mm f1.8G""@en "" Nikkor f1.8G | Digital SLR Camera Toronto Canada Store Cameras Aden ""@en","""
                         
** Have a question regarding Nikon MAP price or purchase inquires, please call 416-977-9711 or email us at info@adencamera.com. **
Nikon’s AF-S NIKKOR 50mm f/1.8G lens, is a fast, compact lens that affords photographers the versatility of the classic 50mm focal length and the benefits of a fast aperture for photos and movies. Whether a new D-SLR enthusiast or a seasoned pro, users will appreciate the tack-sharp image quality, extreme low-light performance, shallow depth of field and Nikon core technologies that improve upon the original to make a great lens even better.
 Main Features 

F Mount Lens/FX Format
Aperture Range: f/1.8 to 16
One Aspherical Lens Element
Super Integrated Lens Coating
Silent Wave Motor AF System
M/A Mode; Manual Focus Override
Minimum Focus Distance: 17.7""
Filter Diameter: 58mm
Seven-Blade Diaphragm

5 Years Nikon Canada Warranty
Authorized Nikon Canada Pro Dealer
1 Year Nikon Worldwide Warranty
                    ""@en ",,
10517333,Camera_and_Photo,9365315,," ""Sony HDR-CX210 High Definition Handycam Camcorder (Black)""@en (Black) - Fumfie.com""@en",,,
10509597,Camera_and_Photo,220397,"""mixchips"""," ""mixchips 26H3216 AUM 8MB 72p 70ns 18c 1x4 Parity FPM SIMM RFB"""," ""26H3216 AUM 8MB 72p 70ns 18c 1x4 Parity FPM SIMM RFB""","""USD"", ""12.98""",
1165070,Camera_and_Photo,5383533,," "" Cámara NIKON D-5300 Profesional + Estuche Memoria 8 GB Negra ""@es ""Camara Alkomprar.com""@es","""
                            
CAMARA REFLEX NIKOND-5300
RESOLUCION:24.2 MP
LENTE:18-55mm VR II
PANTALLA LCD:3.2 Pulgadas ANGULO VARIABLE
VIDEO:VIDEO FULL HD 1080p a 60/30/24p
ISO:100-12.800 A 25.600
OTROS:5 CPS Disparo Continuo. WI-FI. GPS
ACCESORIOS:ESTUCHE + MEMORIA 8 GB
                        ""@es ",, Marca NIKON Megapixeles 24.2 MP TAMAÑO DE PANTALLA 3 Pulgadas COLOR Negro COLOR Negra ACCESORIOS CAMARA REFLEX NIKOND-5300 RESOLUCION:24.2 MP LENTE:18-55mm VR II PANTALLA LCD:3.2 Pulgadas ANGULO VARIABLE VIDEO:VIDEO FULL HD 1080p a 60/30/24p ISO:100-12.800 A 25.600 OTROS:5 CPS Disparo Continuo. WI-FI. GPS ACCESORIOS:ESTUCHE + MEMORIA 8 GB
5280656,Camera_and_Photo,5748260,," ""Nikon AF-S Nikkor 55-300mm f/4.5-5.6G ED VR DX Lens""@en ""Camera Lenses :: Nikon Lens - Onestop Digital""@en","""<p>The Nikon AF-S NIKKOR 55-300mm f/4.5-5.6G ED VR Zoom Lens is a compact 5.5x zoom lens for DX-format D-SLR cameras. Its equivalent focal length in FX-format is 82.5-450mm. This lens is an excellent choice for travel, landscapes, portraits, and distant subjects. The lens focuses to 4.6' at every focal length - this versatility ensures stunning close-up shots of subjects near and far.</p>
<p>The VR II image stabilization allows you to handhold the your camera at up to 4 shutter speeds slower than would otherwise be possible, assuring dramatically sharper still images and stable video capture. Other features include the silent wave motor for quiet accurate autofocusing, and a rounded 9-blade diaphragm that offers stunning out-of-focus highlights (bokeh). The lens elements have been treated with Nikon's Super Integrated Coating - an optical lens coating process that maximizes light transmission while enhancing clarity and contrast. All of these world-class features add up to the AF-S 55-300 being an ideal lens for traveling or shooting close to home.</p>""@en ",,
14839612,Camera_and_Photo,2325456,"""Transcend""@en"," ""Transcend NAND SDHC Flash Memory Card (4GB, Class 2 Speed Rating)""@en, "" Transcend Rating) ""@en Overview - CNET""@en (4GB",,,
4679608,Camera_and_Photo,1931027,," ""Wireless 2.4GHz (802.11b) Internet Camera""@fi ""DCS-1000w Wireless Camera | D-Link Finland""@fi","""
              
				
					
					
						
							Download the datasheet.
						
					
				
              
				 
	                        List Retailers
	                        
				      
              
            ""@fi ",,
17100990,Camera_and_Photo,495045,," ""Canon EF 2x III Extender""@en ""Accessories :: Canon Extender - Onestop Digital""@en","""<p>The Canon Extender EF 2X III is designed for select Canon L-series telephoto lenses. The extender is perfect for photojournalists, nature and sports photographers who need to get close to distant and challenging subjects. The Extender EF 2x III increases the focal length of a lens by a factor of 2x while still delivering superb image quality. To ensure the best possible image quality in all shooting conditions, it also combines enhanced environmental protection, redesigned optics and improved data communication between lens and camera.</p>
<p>The extender allows professional photographers to shoot distant subjects without having to carry a number of heavy lenses. The Extender EF 2x III features five groups of nine elements, ensuring improved optical performance. All optical elements use Canon's Super Spectra coating, reducing ghosting and flare to minimize post-processing requirements. A new Fluorine Coating on the front and rear elements makes marks, such as spots left by water or fingerprints, much easier to clean than standard coatings.</p>""@en ",,
15508575,Camera_and_Photo,11750662,"""Veho""@en"," ""Veho VCC-003 Muvi Pro Micro (Black)""@en, "" Veho (Black) ""@en Prices - CNET""@en",,,
16126053,Camera_and_Photo,828963,," ""Canon Right Angle Finder C (Includes ED-C and ED-D Adapters for All SLR Camera""@en "" Digital Camera Viewfinder Attachment Accessories | Unique Photo ""@en","""- Provides a full screen image  - Shows exposure data  - Built-in dioptric adjustment  - Compatible with all Canon EOS cameras""@en ",,
8804841,Camera_and_Photo,77543,"""CCTV Camera Pros"""," ""WIFI-900XTRP Wireless Video Surveillance Transmitter, 900Mhz"" ""Wireless Transmitter""","""
Wireless Video Surveillance Transmitter
Transmitter & Receiver Antenna BundleWireless Video Surveillance Transmitter Specification
"" ",,
11169144,Camera_and_Photo,11995595,"""GoPro""@en"," ""GoPro HERO3+ Black Edition Adventure Camcorder""@en Camcorder - CHDHX-302 Abt""@en",,,
13716594,Camera_and_Photo,133544,," ""D-Link DCS-2210L Full HD PoE Day/Night Network Camera - network surveillanc"" "" D-Link surveillanc Physical Security & IP Cameras CDWG.com","""The D-Link DCS-2210L Full HD PoE Day/Night Network Camera is a versatile camera perfect for monitoring low-light environments in your home or small office. It combines a high-resolution 2-megapixel sensor with a built-in IR LED to help you keep watch over areas in complete darkness."" ",,
3517367,Camera_and_Photo,421980,"""Canon""@en-US"," ""Canon IFC 400 PCU Data Cable, 5'""@en-US 5' ""Superwarehouse - Canon Cable 9370A001""@en-US",,,
16101932,Camera_and_Photo,263241,," ""Fujifilm Instax Mini 8 Deal- Black Camera, 3 Packs of Film and Bag""@en "" Cameras | Unique Photo ""@en","""
	- Cute and compact body design available in five different colors!


	- Simple operation for instant pictures


	- You can take a high-key photo easily


	- Includes 3 Packs of instax mini twin pack film (60 exposures total)

""@en ",,
4833746,Camera_and_Photo,767046,"""Transcend"""," ""Transcend 4GB Class 10 SDHC Card (TS4GSDHC10)"" ""Camera & Photo Accessories - Page 451 | All Tech Toys""","""As high-tech gadgets become increasingly advanced with ever-improving video and audio quality, we find ourselves needing extra speed and memory capacity to store our high-resolution digital masterpieces."" ",,
526803,Camera_and_Photo,497614,"""SanDisk"""," ""SanDisk Ultra microSDXC 200GB 90MB/s, UHS-I/Class 10"" 90MB/s","""Shoot video, capture photos, download apps, and more with the 200GB Ultra UHS-I microSDXC Memory Card from SanDisk. This memory card pushes the limits with regards to storage capacity on a microSD memory card with 200GB of space to store up to 20 hours of Full HD video. Additionally, you can transfer your data quickly to and from the card with a maximum data read speed of up to 90 MB/s. The microSDXC memory card comes water, temperature, shock, X-ray, and magnet proof to ensure your data remains safe in some of the harshest conditions possible. You can also transfer files to and from the card via the included SD adapter.
"" ",," Official Release Date  May 02, 2015 PAX-Code PAX0007010188 Catalog No.  SDSDQUAN-200G-G4A Item Code  0619659128944 Product Measures 1.5cm x 1.1cm x 0.1cm Box contents SanDisk Ultra microSDXC UHS-I Card 200GB SD adapter"
15115350,Camera_and_Photo,15780212,," ""Carrying Bag for Sony Cyber-shot DSC-T200 Camera - White"" White Free Shipping""",,,
14110666,Camera_and_Photo,236766,," ""GoPro Fixation lat�rale"" ""Gopro Lat�rale - Que-Du-Sport""","""
GoPro Fixation latérale

 

 



Fixez votre caméra Gopro sur votre casque, véhicule, équipement, et plus encore. Le bras articulé tridirectionnel vous permet de cadrer vos images très facilement. 

Compatible avec TOUTES les Caméras HERO3, HERO2 et HD HERO Original

 

 



 

 

Comprend :


	Fixation latérale
	Fixation adhésive incurvée




 

 "" ",,
10614670,Camera_and_Photo,142977,," ""Sony RMTDSLR2 Wireless Remote for Alpha & NEX""@en NEX (RMTDSLR2)""@en",,,
16081060,Computers_and_Accessories,120188,"""Logitech""@en-gb"," ""Logitech® BCC950 USB Full HD 1080p UC Conference-Cam""@en-gb 1080p... | 960-000867 £190.99 Insight UK""@en-gb","""It combines HD 1080p 30fps video with high-quality full-duplex speakerphone clarity for business-grade video conferencing. UVC H. 264 onboard technology helps ensure quick Plug-and-Play functionality on both PCs and Macs - no software to install. The built-in, full duplex speakerphone and noise-canceling microphone allow all meeting members to hear and be heard clearly up to 8 feet away from the base.""@en-gb ",," Logitech BCC950 ConferenceCam - web camera Device Type Web camera - pan / tilt / zoom Audio Yes: built-in speaker, built-in microphone Connectivity Technology Wired Camera Colour Max Resolution 1920 x 1080 Focus Adjustment Automatic Panning Range (degree) 180 Tilting Range (degree) 55 Interfaces USB 2.0 Cables Included 1 - USB cable - 2.4 m Features USB 2.0 compatibility, Carl Zeiss optics, Skype compatible Manufacturer Warranty 2 years warranty Microsoft Certification Compatible with Windows 7"
12616697,Camera_and_Photo,2122665,," ""Fujifilm Instax Mini 25 Camera (White) uses Film""@en "" Film Cameras | Unique Photo ""@en","""
	- Instant Film Camera 
	- Double shutter design for easy landscape or portrait photos
	- Automatic built in fash

""@en ",,
13380313,Camera_and_Photo,13056496,," ""Vigilance Full HD Surveillance Starter Kit""@ro ""DNR16-4802-2 Vigilance Kit | D-Link Romania""@ro","""
              The Vigilance Full HD Surveillance Starter Kit includes the 16-Channel PoE Network Video Recorder and 2 x Full HD Outdoor PoE Mini Dome Cameras to allow you to start protecting your premise right away. Simply add hard disk(s) to the Network Video Recorder (NVR) and connect the cameras, to start monitoring and recording without the need of a computer.
				
					
					
						
							Download the datasheet.
						
					
				
              
				 
	                        List Retailers
	                        
				      
              
            ""@ro ",,
1433352,Camera_and_Photo,1150583,," ""Zewnętrzna kamera IP PoE HD Cloud""@pl ""DCS-2310L Zewnętrzna Cloud | D-Link Polska""@pl","""
              
    Doskonały obraz w jakości HD 
    Przetwornik HD o rozdzielczości 1 megapiksela pozwala rejestrować obraz (ruchomy i nieruchomy) HD w rozdzielczości 720p. To gwarantuje wychwycenie wszystkich szczegółów. 
    Całodobowe monitorowanie domu 
    Przestrzeń zewnętrzną można monitorować nawet w całkowitej ciemności dzięki diodom emitującym promieniowanie podczerwone. Urządzenia spełniają również wymagania normy IP-65, co oznacza, że są całkowicie chronione przed kurzem oraz strumieniem wody (np. deszczem). 
    Całodobowe monitorowanie domu z dowolnego miejsca 
    Usługi chmury mydlink™ umożliwiają monitorowanie na żywo przez 24 godziny na dobę za pomocą komputera PC, telefonu iPhone®, tabletu iPad® lub urządzenia z systemem Android™. 

				
					
					
						
							Pobierz kartę produktu.
						
					
				
              
				 
	                        Lista sklepów
	                        
				      
              
            ""@pl ",,
10583636,Camera_and_Photo,12048952,," ""Camera quan sát  WTC-T201C""@vi WinTech Việt Nam""@vi sát  WTC-T201C","""Camera quan sát WTC-T203CTruyền hình ảnh chất lượng HD với khoảng cách 500-700m ,không bị delay hình ảnhĐộ phân giải:HD (1280 x 720 ) 1.3 MPÁnh sáng tối thiểu:0.01 Lux/F1.2""@vi ",,
15971429,Camera_and_Photo,2133758,"""Hasselblad"""," ""X1D Digital Medium Format Mirrorless Camera Body""",,"""8995.00"", ""USD""",
13754486,Camera_and_Photo,7599153,"""Lezyne"""," ""Lezyne 3 - Way With 4 / 5 6 mm CRV Hex Bits"" Bits comprar e ofertas na Bikeinn""","""
		Description Lezyne 3 - Way - With 4 / 5 / 6 mm CRV Hex Bits 
		 
		
			Tradução gerada automaticamente
			Ver descrição original em Inglês
		
		
		
			Pesados, loja de qualidade chave de três vias. Duas peças Serviceable Corpo permite a fácil substituição / troca de bits. Clássico, fácil de usar forma compacta. Durável, usinado CNC corpo de aço endurecido. Pesados, desenhado e forjou CRV + pedaços de aço anti corrosão. Bits da ferramenta de substituição incluído em cada chave. Não todos os bits não são intercambiáveis ​​entre os corpos.Especificações:Peso: 368g
			Descubra a gama completa de produtos  da Lezyne, disponíveis em stock e ao melhor preço. Na bikeinn, a sua loja online de , poderá comprar o nosso produto Lezyne 3 - Way - With 4 / 5 / 6 mm CRV Hex Bits online, a partir do conforto da sua casa, com toda a garantia de receção dentro de 24-48h.
			
				
					
				
				
				 
				
					Clique no link seguinte para obter mais informações sobre:
					Especificações 
				
			
			
				
					
				
				
					Clique no link seguinte para obter mais informações sobre:
					Manual
				
			
			
				
					Guia de tamanhos
				
			
		
	"" ",,
15788739,Camera_and_Photo,1153900,," ""Canon EOS 80D DSLR Camera with 18-135mm Lens Video Creator Kit""@en ""Buy Canon Kit at Connection Public Sector Solutions""@en",,,
6523632,Camera_and_Photo,13677918,," ""Panasonic Inspire Creativity - DMCLX100K""@en","""
New 4/3-inch High Sensitivity MOS Sensor

The DMC-LX100 is designed to render breathtaking gradation and rich textures in all their natural beauty. It incorporates a new 4/3-inch large High Sensitivity MOS sensor with multiple aspect ratios. By keeping the resolution to 12.8 Mpx (in 4:3 setting), the amount of light is maintained to improve the S/N ratio, making it possible to capture clear images with minimum noise, even when shot at ISO 25600. Sensor total pixel is 16.8 Mpx.



F1.7-2.8 LEICA DC VARIO-SUMMILUX Lens

The newly developed LEICA DC VARIO-SUMMILUX lens boasts an F1.7-2.8 brightness, high speed, high detail and corner-to-corner resolution. The lens unit consists of 11 elements in 8 groups with 5 aspherical lenses including 2 ED lenses. To fit the camera body with its large 4/3-inch sensor, a new structure was designed that moves the entire lens group while Panasonic's original centering technology enhances the lens alignment sharpness. This lens also produces stunningly beautiful defocusing together with the large MOS sensor.



Supremely Creative Tool for Camera Enthusiasts

Turn the aperture ring with your left hand and operate the shutter speed dial with your right hand. These two controls adjust the exposure, which is critical for picture quality. Aim the camera and look into the 2,764K-dot equivalent high resolution LVF (Live View Finder) and your right hand will naturally rest on the exposure compensation dial. With the DMC-LX100, the photographer and the camera quickly become one.



Versatile Creative Effects

For more creative freedom, the DMC-LX100 integrates Creative Control (Filter), Creative Panorama and Photo Style. Notably, aperture and shutter speed can be adjusted while applying Creative Control filter, to further inspire the photographers"" creativity. Combining these and other functions allows virtually unlimited expression.



Capture High-Resolution Photos from 4K Video Recording

The 4K Photo leverages the camera""s 4K video recording capability and cuts out a 3840 x 2160 8-megapixel equivalent image from the 4K video footage, enabling users to capture spur-of-the-moment shots which are often missed in still image photography. Once the 4K Photo mode is entered, the luminance level is adjusted to 0-255, which is suitable for photos. You can also choose your desired aspect ratio (4:3, 3:2 or 16:9). 4K video can be recorded for up to 15 minutes. When recording videos in 4K, use an SD card rated as UHS Speed Class 3.



Smooth, Beautiful Defocus Effect

The newly developed LEICA DC VARIO-SUMMILUX lens features optimization of optical design and 5 aspherical glass lenses, which are made possible by Panasonic's unique aspherical lens mold technology. This combines with the large MOS sensor to give your photos a shallow depth of field with an impressive defocus effect featuring invisible edge lines. The newly adopted 9-aperture diaphragm also helps to produce bokeh with a smooth, circular shape.



Advanced Venus EngineImage Processor

The Venus Engine features Multi-Process NR, 3D Colour Control and Aperture Filter to achieve high colour reproduction and high resolution images with natural description. The combination of the High Sensitivity MOS sensor and the Venus Engine achieves stunning picture quality that rivals that of D-SLRs.



Multiple Aspect Ratios

The Multi-aspect ratio function in LUMIX lets you record images in 4:3, 3:2 or 16:9 aspect ratio with the same angle of view and can quickly be set with the aspect switch on the lens barrel.



Macro Shooting (3 cm)

Stunning macro shots can be taken with a minimum focusing distance of 3 cm (wide) and 30 cm (tele). You can shoot close-ups with the DMC-LX100 to express the spectacular details of flowers, animals, insects, etc., and the POWER O.I.S. (Optical Image Stabilizer) effectively compensates for handshake.



Analog-Like Operation

A variety of advanced functions are featured on the DMC-LX100 to expand the potential of advanced photographers. It allows direct, intuitive control with dedicated rings and dials such as the aperture ring, control ring for zooming or focusing, shutter speed dial and exposure compensation dial.



2,764K-dot Equivalent High Resolution Live View Finder

The DMC-LX100 integrates an LVF (Live View Finder) with 2,764K-dot equivalent high resolution and approx. 100% colour reproduction. It assures stable framing and superb visibility even under strong sunlight. The Eye Sensor AF starts auto focusing by just looking into the LVF so you won't miss any shooting opportunities. Also, a 3.0-inch, 921K-dot rear monitor is available. Based on the Adobe RGB color space, Panasonic in-house comparison based on the CIE 1931 x, y color space.



Light Speed AF with DFD Technology

New DFD (Depth from Defocus) technology shortens the time to set focus. It instantaneously calculates the distance to the subject by evaluating 2 images with different sharpness levels. As a result, ultra high speed AF of approx. 0.14 sec is achieved. CIPA standard. The zoom position is in wide range. When using Live View Finder.



Fast Shutter Speed

A high shutter speed at max. 1/4000 sec enables you to capture spur-of-the-moment, fast moving subjects. You can open the aperture even outdoors (Max. 1/16000 sec) with an electronic shutter reducing washouts even under strong sunlight.

Burst Shooting (11 fps)

High-speed burst shooting is possible at 11 fps at full resolution and together with a quick start-up and a short release time lag, the DMC-LX100 will make sure you catch those fleeting shooting opportunities.



Focus Peaking Function with Control Ring

Manual control is easy thanks to the Control Ring, which enables direct, intuitive control over frequently-used functions and settings. The Focus Peaking function shows the peak of focus in MF and AF MF modes. It is also available in remote photo / video shooting with a smartphone / tablet via Wi-Fi.

Level Gauge

The Level Gauge lets the camera detect the horizontal / vertical angle of view which is convenient to make level in composition.



Aspect Bracket

The Aspect Bracket function lets the camera take an image in all aspect ratios simultaneously (4:3, 3:2, 16:9 and 1:1).

WB Bracket

A WB (White Balance) bracket is available that records 3 images with different white balance parameters at a single shutter release.

Monochrome in Photo Style

The Monochrome Filter (Ye/Or/R/G) of the Photo Style function creates rich expression using the limited hues of monochrome images.

Multi Exposure

The Multi Exposure function lets you take up to 4 exposures in a single frame and you can layer subjects that wouldn't ordinarily appear in the same frame.



Highlight / Shadow Control

Highlight and shadow can be adjusted to achieve desired images without the use of image processing software. 3 patterns of settings can be customized in addition to 3 preset patterns (Higher Contrast, Lower Contrast, Brighten Shadow).

RAW Data Development in Camera

The DMC-LX100 is capable of developing RAW image in-camera. In addition to the colour space setting (sRGB / AdobeRGB), the parameter of white balance, exposure compensation, contrast, highlight / shadow, saturation, noise reduciton, sharpness or hue can be adjusted while applying LUMIX's Photo Style, Intelligent D-range Control or Intelligent Resolution.



Creative Control / Panorama

Creative Control gives you expressive power to turn ordinary situations into special photos and videos. Now it is possible to apply one of these filters even in P/A/S/M mode. The Creative Panorama function lets you apply artistic effects to images to create dynamic vertical / horizontal panoramic photos with a unique touch just by swiveling the camera. Filter Effects Expressive, Retro, Old Days, High Key, Low Key, Sepia, Monochrome, Dynamic Monochrome, Rough Monochrome, Silky Monochrome, Impressive Art, High Dynamic, Cross Process, Toy Effect, Toy Pop, Bleach Bypass, Miniature Effect, Soft Focus, Fantasy, Star Filter, One Point Colour, Sunshine Note: Available effects vary depending on the shooting mode.



UNWIRE YOUR CREATIVITY with Wi-Fi

Remote Shooting / Viewing

With the ""Panasonic Image App"", you can utilize a smartphone / tablet as controller to zoom, set the focus and shoot from a distance.

Easy Connection

By simply touching an NFC-compatible device to the camera, or scanning the QR code connects you to Wi-Fi.

Easy Share
/>

You can instantly upload and share your images on an SMS using the ""Panasonic Image App"" on a smartphone / tablet.

Geotagging
/>

You can tag the location information to the image by utilizing the GPS log of a smartphone / tablet and share it to the preferred social media.



Optional Accessories for Expandability

A compact external flash (GN7/ISO100 m, GN10/ ISO200 m) that goes with the body colour of the camera is bundled to be mounted on the hot shoe. For even more expandability, the DMC-LX100 is compatible with optional DMW-FL360L and FL580L flash for wireless flash recording functions. You can also mount the optional DMW-VF1 OVF (Optical View Finder) on the hot shoe.



4K Video and Full HD Video Recording (1920 x 1080p)

The DMC-LX100 features an outstanding 4K video recording capability (QFHD 4K: 3840 x 2160, 30 fps / 24 fps in MP4). You can use 4K video as high-speed burst shots, and cut out magical moments with 8-Mpx resolution. The DMC-LX100 also supports Full HD (1920 x 1080), 60p videos in AVCHD Progressive or MP4 format. "" 4K video can be recorded for up to 15 minutes. When recording videos in 4K, use an SD card rated as UHS Speed Class 3. "" Motion picture in AVCHD can be recorded up to 29 minutes, 59 seconds. "" Motion picture in MP4 (FHD/HD/VGA) can be recorded up to 29 minutes, 59 seconds or up to 4 GB.



Manual Video Recording

The DMC-LX100 lets you enjoy expressive video recording by manually setting the aperture and shutter speed. In addition, you can add different artistic effects to your videos by applying a Creative Control filter.



Time Lapse Shot

Leave the camera for stationary recording of subjects such as astronomical observation, flowers coming into bloom or slow moving clouds. The series of consequential images can be combined to produce a time lapse video.

Stop Motion Animation

The Stop Motion Animation function enables the production of stop motion (stop frame) video on the camera with pictures that were sequentially shot while moving the object by degrees. This effect gives the illusion of the object moving by itself.

""@en ",,
6837620,Camera_and_Photo,53429,"""Canon""@en"," "" Canon EF 70-300mm f/4-5.6L IS USM Autofocus Telephoto Zoom Lens ""@en, ""Canon Lens""@en Prices - CNET""@en",,,
13240942,Camera_and_Photo,936704,," ""Canon ST-E3-RT Speedlite Transmitter ""@en Aden Camera Digital Cameras Toronto Canada Store "" Canon | SLR","""
                        Fire compatible Speedlite flashguns over distances of up to 30m. Radio-frequency control provides reliable operation even when direct line of sight is not possible.
Features

Radio frequency remote flash trigger
Fire selected Speedlites from 30m away
Part of the E-TTL II flash system
Controls up to 15 flashguns
Remote camera triggering
Weather sealed against dust and moisture.
A radio-frequency flash trigger aimed at professional photographers using off-camera flash.1 Year Canon Canada & US Warranty

 
                    ""@en ",,
