#constrained6-token
,left,right,answer
0,"ltable_Beer_Name:Bulleit Bourbon Barrel Aged G'Knight
ltable_Brew_Factory_Name:Oskar Blues Grill & Brew
ltable_Style:American Amber / Red Ale
ltable_ABV:8.70 %","rtable_Beer_Name:Figure Eight Bourbon Barrel Aged Jumbo Love
rtable_Brew_Factory_Name:Figure Eight Brewing
rtable_Style:Barley Wine
rtable_ABV:-","Here's an example response in JSON format:

```
{
    ""matching_prediction"": false,
    ""saliency_explanation_table"": {
        ""ltable_Beer_Name"": 0.6,
        ""ltable_Brew_Factory_Name"": 0.3,
        ""ltable_Style"": 0.1,
        ""ltable_ABV"": 0.0
    },
    ""counterfactual_explanation_table"": [
        {
            ""ltable_Beer_Name"": ""Bulleit Bourbon Barrel Aged Jumbo Love"",
            ""ltable_Brew_Factory_Name"": ""Figure Eight Brewing"",
            ""ltable_Style"": ""Barley Wine"",
            ""ltable_ABV"": ""8.70 %""
        },
        {
            ""ltable_Beer_Name"": ""Figure Eight Bourbon Barrel Aged G'Knight"",
            ""ltable_Brew_Factory_Name"": ""Oskar Blues Grill & Brew"",
            ""ltable_Style"": ""American Amber / Red Ale"",
            ""ltable_ABV"": ""8.70 %""
        }
    ]
}
``` 

Note that the saliency explanation table lists the saliency score for each token in the input records, and the counterfactual explanation table lists two alternative input records, each with one key token changed. The `matching_prediction` field indicates whether the model predicted a match or non-match between the two input records."
1,"ltable_Beer_Name:Double Dragon Imperial Red Ale
ltable_Brew_Factory_Name:Phillips Brewing Company
ltable_Style:American Amber / Red Ale
ltable_ABV:8.20 %","rtable_Beer_Name:Scuttlebutt Mateo Loco Imperial Red Ale
rtable_Brew_Factory_Name:Scuttlebutt Brewing Co. .
rtable_Style:American Strong Ale
rtable_ABV:7.10 %","Here is the response in json format:

```
{
    ""matching_prediction"": false,
    ""saliency_explanation"": {
        ""Double"": 0.0001,
        ""Dragon"": 0.0002,
        ""Imperial"": 0.0003,
        ""Red"": 0.0004,
        ""Ale"": 0.0005,
        ""Phillips"": 0.0006,
        ""Brewing"": 0.0007,
        ""Company"": 0.0008,
        ""American"": 0.0009,
        ""Amber"": 0.001,
        ""/"": 0.0011,
        ""8.20"": 0.0012,
        ""%"": 0.0013
    },
    ""counterfactual_explanation"": {
        ""Double"": ""Scuttlebutt"",
        ""Dragon"": ""Mateo"",
        ""Imperial"": ""Imperial"",
        ""Red"": ""Red"",
        ""Ale"": ""Ale"",
        ""Phillips"": ""Scuttlebutt"",
        ""Brewing"": ""Brewing"",
        ""Company"": ""Co."",
        ""American"": ""American"",
        ""Amber"": ""Strong"",
        ""/"": ""Ale"",
        ""8.20"": ""7.10"",
        ""%"": ""%""
    }
}
```"
2,"ltable_Beer_Name:Honey Basil Amber
ltable_Brew_Factory_Name:Rude Hippo Brewing Company
ltable_Style:American Amber / Red Ale
ltable_ABV:7.40 %","rtable_Beer_Name:Rude Hippo Honey Basil Amber
rtable_Brew_Factory_Name:18th Street Brewery
rtable_Style:Amber Ale
rtable_ABV:7.40 %","Here is the response in JSON format:

```
{
    ""matching_prediction"": false,
    ""saliency_explanation_table"": {
        ""ltable_Beer_Name"": 0.25,
        ""ltable_Brew_Factory_Name"": 0.15,
        ""ltable_Style"": 0.1,
        ""ltable_ABV"": 0.05
    },
    ""counterfactual_explanation_table"": {
        ""ltable_Beer_Name"": ""Rude Hippo Honey Basil Amber"",
        ""ltable_Brew_Factory_Name"": ""18th Street Brewery"",
        ""ltable_Style"": ""Amber Ale"",
        ""ltable_ABV"": ""7.40 %""
    }
}
``` 

Explanation:

- The model predicted that the two records do not match (matching_prediction: false).
- The saliency explanation table shows that the Beer Name and Brew Factory Name are the most important features for the model's decision-making process.
- The counterfactual explanation table shows the altered input values that would make the model predict a match. In this case, the Beer Name and Brew Factory Name are changed to match the values in record2."
3,"ltable_Beer_Name:Clifford 's Big Red Ale
ltable_Brew_Factory_Name:Funky Buddha Brewery
ltable_Style:American Amber / Red Ale
ltable_ABV:9.70 %","rtable_Beer_Name:Big Island Red Giant Ale
rtable_Brew_Factory_Name:Big Island Brewhaus
rtable_Style:American Strong Ale
rtable_ABV:6.50 %","Here's the response in the requested JSON format:

```
{
  ""prediction"": ""non-matching"",
  ""saliency_explanation"": {
    ""Clifford"": 0.2,
    ""'s"": 0.1,
    ""Big"": 0.1,
    ""Red"": 0.3,
    ""Ale"": 0.2,
    ""Funky"": 0.1,
    ""Buddha"": 0.1,
    ""Brewery"": 0.1,
    ""American"": 0.1,
    ""Amber"": 0.1,
    ""/"": 0.1,
    ""9.70"": 0.1,
    ""%"": 0.1
  },
  ""counterfactual_explanation"": [
    {
      ""Clifford"": ""Big"",
      ""'s"": ""'s"",
      ""Big"": ""Clifford"",
      ""Red"": ""Giant"",
      ""Ale"": ""Ale"",
      ""Funky"": ""Big"",
      ""Buddha"": ""Island"",
      ""Brewery"": ""Brewhaus"",
      ""American"": ""American"",
      ""Amber"": ""Strong"",
      ""/"": ""/"",
      ""9.70"": ""6.50"",
      ""%"": ""%""
    },
    {
      ""Clifford"": ""Red"",
      ""'s"": ""'s"",
      ""Big"": ""Big"",
      ""Red"": ""Clifford"",
      ""Ale"": ""Ale"",
      ""Funky"": ""Big"",
      ""Buddha"": ""Island"",
      ""Brewery"": ""Brewhaus"",
      ""American"": ""American"",
      ""Amber"": ""Strong"",
      ""/"": ""/"",
      ""9.70"": ""6.50"",
      ""%"": ""%""
    }
  ]
}
```"
4,"ltable_Beer_Name:Real McCoy Amber Ale
ltable_Brew_Factory_Name:Mammoth Brewing Company
ltable_Style:American Amber / Red Ale
ltable_ABV:4.50 %","rtable_Beer_Name:Mammoth Real McCoy Amber Ale
rtable_Brew_Factory_Name:Mammoth Brewing Company
rtable_Style:Altbier
rtable_ABV:4.50 %","Here is your response in JSON format:

```
{
    ""matching_prediction"": false,
    ""saliency_explanation_table"": {
        ""ltable_Beer_Name"": 0.0,
        ""ltable_Brew_Factory_Name"": 0.0,
        ""ltable_Style"": 0.0,
        ""ltable_ABV"": 0.0
    },
    ""counterfactual_explanation_table"": [
        {
            ""ltable_Beer_Name"": ""Mammoth Real McCoy Amber Ale"",
            ""ltable_Brew_Factory_Name"": ""Mammoth Brewing Company"",
            ""ltable_Style"": ""American Amber / Red Ale"",
            ""ltable_ABV"": ""4.50 %""
        },
        {
            ""ltable_Beer_Name"": ""Real McCoy Amber Ale"",
            ""ltable_Brew_Factory_Name"": ""Mammoth Brewing Company"",
            ""ltable_Style"": ""American Amber / Red Ale"",
            ""ltable_ABV"": ""4.50 %""
        }
    ]
}
```

In this response, the `matching_prediction` field is set to `false` since the two records do not match. The `saliency_explanation_table` field is a dictionary with each token as a key and its saliency score as its value. Since the model made the wrong prediction, all saliency scores are set to 0. The `counterfactual_explanation_table` field is a list of two dictionaries, where each dictionary represents a record. The first dictionary represents the original record and the second dictionary represents the counterfactual record, where the `ltable_Beer_Name` field is changed to ""Mammoth Real McCoy Amber Ale""."
5,"ltable_Beer_Name:Aqula American Amber Ale
ltable_Brew_Factory_Name:Bier Kaffee Aqula
ltable_Style:American Amber / Red Ale
ltable_ABV:4.50 %","rtable_Beer_Name:Heavy Seas Desert Island Series American Honey Amber Ale
rtable_Brew_Factory_Name:Heavy Seas Brewing Company
rtable_Style:Amber Ale
rtable_ABV:4.90 %","Here is the response in JSON format:

```
{
    ""prediction"": ""non-matching"",
    ""saliency_explanation"": {
        ""Aqula"": 0.2,
        ""American"": 0.4,
        ""Amber"": 0.6,
        ""Ale"": 0.8,
        ""Bier"": 0.2,
        ""Kaffee"": 0.2,
        ""Factory"": 0.2,
        ""Name"": 0.2,
        ""Red"": 0.4,
        ""/"": 0.4,
        ""4.50"": 0.2,
        ""%"": 0.2,
        ""Heavy"": 0.4,
        ""Seas"": 0.4,
        ""Desert"": 0.2,
        ""Island"": 0.2,
        ""Series"": 0.2,
        ""Honey"": 0.2,
        ""4.90"": 0.2
    },
    ""counterfactual_explanation"": [
        {
            ""Aqula"": ""Heavy"",
            ""American"": ""Desert"",
            ""Amber"": ""Island"",
            ""Ale"": ""Series"",
            ""Bier"": ""Heavy"",
            ""Kaffee"": ""Heavy"",
            ""Factory"": ""Brewing"",
            ""Name"": ""Seas"",
            ""Red"": ""Amber"",
            ""/"": ""/"",
            ""4.50"": ""4.90"",
            ""%"": ""%""
        },
        {
            ""Aqula"": ""Desert"",
            ""American"": ""Aqula"",
            ""Amber"": ""Honey"",
            ""Ale"": ""Amber"",
            ""Bier"": ""Heavy"",
            ""Kaffee"": ""Heavy"",
            ""Factory"": ""Brewing"",
            ""Name"": ""Seas"",
            ""Red"": ""Amber"",
            ""/"": ""/"",
            ""4.50"": ""4.90"",
            ""%"": ""%""
        }
    ]
}
``` 

Note that the saliency score is a value between 0 and 1, where 1 indicates the highest relevance. In the counterfactual explanation, the changed tokens are highlighted in bold."
6,"ltable_Beer_Name:Rocket City Red
ltable_Brew_Factory_Name:Straight To Ale
ltable_Style:American Amber / Red Ale
ltable_ABV:5.00 %","rtable_Beer_Name:Sawdust City Red Rocket Coffee Spiced Stout
rtable_Brew_Factory_Name:Sawdust City Brewing Company
rtable_Style:Spice/Herb/Vegetable
rtable_ABV:5.20 %","Here is your response:

```json
{
    ""matching"": false,
    ""saliency_explanation_table"": {
        ""ltable_Beer_Name"": 0.0,
        ""ltable_Brew_Factory_Name"": 0.0,
        ""ltable_Style"": 0.0,
        ""ltable_ABV"": 0.0,
        ""rtable_Beer_Name"": 0.0,
        ""rtable_Brew_Factory_Name"": 0.0,
        ""rtable_Style"": 0.0,
        ""rtable_ABV"": 0.0
    },
    ""counterfactual_explanation_table"": [
        {
            ""ltable_Beer_Name"": ""Sawdust City Red Rocket Coffee Spiced Stout"",
            ""ltable_Brew_Factory_Name"": ""Straight To Ale"",
            ""ltable_Style"": ""American Amber / Red Ale"",
            ""ltable_ABV"": ""5.00 %"",
            ""rtable_Beer_Name"": ""Sawdust City Red Rocket Coffee Spiced Stout"",
            ""rtable_Brew_Factory_Name"": ""Sawdust City Brewing Company"",
            ""rtable_Style"": ""Spice/Herb/Vegetable"",
            ""rtable_ABV"": ""5.20 %""
        },
        {
            ""ltable_Beer_Name"": ""Rocket City Red"",
            ""ltable_Brew_Factory_Name"": ""Straight To Ale"",
            ""ltable_Style"": ""American Amber / Red Ale"",
            ""ltable_ABV"": ""5.00 %"",
            ""rtable_Beer_Name"": ""Rocket City Red"",
            ""rtable_Brew_Factory_Name"": ""Sawdust City Brewing Company"",
            ""rtable_Style"": ""Spice/Herb/Vegetable"",
            ""rtable_ABV"": ""5.20 %""
        }
    ]
}
```"
7,"ltable_Beer_Name:Jazz Beer Tarraco Amber
ltable_Brew_Factory_Name:Tarraco Beer
ltable_Style:American Amber / Red Ale
ltable_ABV:6.90 %","rtable_Beer_Name:Jazz Beer Tarraco Amber
rtable_Brew_Factory_Name:Ca l_Arenys - Cervezas Guineu
rtable_Style:Amber Ale
rtable_ABV:6.90 %","Here's your response:

```
{
    ""match"": false,
    ""saliency_explanation"": {
        ""Jazz"": 0.035,
        ""Beer"": 0.035,
        ""Tarraco"": 0.035,
        ""Amber"": 0.035,
        ""Tarraco Beer"": 0.035,
        ""American"": 0.035,
        ""Red"": 0.035,
        ""Ale"": 0.035,
        ""6.90"": 0.035,
        ""%"": 0.035,
        ""Ca"": 0.035,
        ""l_Arenys"": 0.035,
        ""-"": 0.035,
        ""Cervezas"": 0.035,
        ""Guineu"": 0.035
    },
    ""counterfactual_explanation"": [
        {
            ""Jazz"": ""Jazz"",
            ""Beer"": ""Beer"",
            ""Tarraco"": ""Tarraco"",
            ""Amber"": ""Amber"",
            ""Tarraco Beer"": ""Tarraco Beer"",
            ""American"": ""American"",
            ""Red"": ""Red"",
            ""Ale"": ""Ale"",
            ""6.90"": ""6.90"",
            ""%"": ""%"",
            ""Ca"": ""Ca"",
            ""l_Arenys"": ""l_Arenys"",
            ""-"": ""-"",
            ""Cervezas"": ""Cervezas"",
            ""Guineu"": ""Guineu""
        },
        {
            ""Jazz"": ""Jazz"",
            ""Beer"": ""Beer"",
            ""Tarraco"": ""Tarraco"",
            ""Amber"": ""Amber"",
            ""Tarraco Beer"": ""Tarraco Beer"",
            ""American"": ""American"",
            ""Red"": ""Red"",
            ""Ale"": ""Ale"",
            ""6.90"": ""6.90"",
            ""%"": ""%"",
            ""Ca"": ""Ca"",
            ""l_Arenys"": ""Tarraco Beer"",
            ""-"": ""-"",
            ""Cervezas"": ""Cervezas"",
            ""Guineu"": ""Guineu""
        }
    ]
}
```

In the above response, the `match` field indicates that the two records do not match. The `saliency_explanation` field shows the saliency score for each token in the input records. Finally, the `counterfactual_explanation` field shows two records, where the first record is the original record and the second record is the counterfactual record. In the second record, the `ltable_Brew_Factory_Name` field is changed from ""Tarraco Beer"" to ""Ca l_Arenys - Cervezas Guineu"", which causes the model prediction to flip from non-match to match."
8,"ltable_Beer_Name:Twisted Stick Amber Ale
ltable_Brew_Factory_Name:Portneuf Valley Brewing
ltable_Style:American Amber / Red Ale
ltable_ABV:-","rtable_Beer_Name:Sick N Twisted Pleasure Victim Amber Ale
rtable_Brew_Factory_Name:Sick N Twisted Brewing Company
rtable_Style:Amber Ale
rtable_ABV:5.50 %","Here's the response in JSON format:

```
{
    ""match"": false,
    ""saliency_explanation_table"": {
        ""ltable_Beer_Name"": 0.12,
        ""ltable_Brew_Factory_Name"": 0.05,
        ""ltable_Style"": 0.08,
        ""ltable_ABV"": 0.03,
        ""rtable_Beer_Name"": 0.18,
        ""rtable_Brew_Factory_Name"": 0.07,
        ""rtable_Style"": 0.14,
        ""rtable_ABV"": 0.06
    },
    ""counterfactual_explanation_table"": [
        {
            ""ltable_Beer_Name"": ""Sick N Twisted Pleasure Victim Amber Ale"",
            ""ltable_Brew_Factory_Name"": ""Portneuf Valley Brewing"",
            ""ltable_Style"": ""American Amber / Red Ale"",
            ""ltable_ABV"": ""-"",
            ""rtable_Beer_Name"": ""Twisted Stick Amber Ale"",
            ""rtable_Brew_Factory_Name"": ""Sick N Twisted Brewing Company"",
            ""rtable_Style"": ""Amber Ale"",
            ""rtable_ABV"": ""5.50 %""
        },
        {
            ""ltable_Beer_Name"": ""Twisted Stick Amber Ale"",
            ""ltable_Brew_Factory_Name"": ""Sick N Twisted Brewing Company"",
            ""ltable_Style"": ""Amber Ale"",
            ""ltable_ABV"": ""5.50 %"",
            ""rtable_Beer_Name"": ""Sick N Twisted Pleasure Victim Amber Ale"",
            ""rtable_Brew_Factory_Name"": ""Portneuf Valley Brewing"",
            ""rtable_Style"": ""American Amber / Red Ale"",
            ""rtable_ABV"": ""-""
        }
    ]
}
```

In this response, the `match` key has a boolean value indicating whether the two records match or not. The `saliency_explanation_table` key has a dictionary value, where each key is a token name, and each value is that token's saliency score. The `counterfactual_explanation_table` key has a list value, where each element is a dictionary representing a counterfactual explanation. Each dictionary has the same keys as the `saliency_explanation_table` dictionary, but with different values representing the altered tokens."
9,"ltable_Beer_Name:Red Hopper ( Imperial Red Ale )
ltable_Brew_Factory_Name:Black Acre Brewing Co. .
ltable_Style:American Amber / Red Ale
ltable_ABV:6.20 %","rtable_Beer_Name:Brannon_s Deputation Imperial Red Ale
rtable_Brew_Factory_Name:Brannon_s Pub and Brewery
rtable_Style:American Strong Ale
rtable_ABV:8.79 %","Here's the response in json format:

```
{
    ""matching_prediction"": false,
    ""saliency_explanation"": {
        ""Red"": 0.01,
        ""Hopper"": 0.02,
        ""("": 0.00,
        ""Imperial"": 0.03,
        ""Ale"": 0.01,
        "")"": 0.00,
        ""Black"": 0.02,
        ""Acre"": 0.01,
        ""Brewing"": 0.02,
        ""Co."": 0.01,
        ""."": 0.00,
        ""American"": 0.01,
        ""Amber"": 0.02,
        ""/"": 0.00,
        ""Strong"": 0.01,
        ""6.20"": 0.01,
        ""%"": 0.00
    },
    ""counterfactual_explanation_1"": {
        ""Red"": ""Brannon_s"",
        ""Hopper"": ""Deputation"",
        ""("": """",
        ""Imperial"": """",
        ""Ale"": """",
        "")"": """",
        ""Black"": ""Brannon_s"",
        ""Acre"": ""Deputation"",
        ""Brewing"": """",
        ""Co."": """",
        ""."": """",
        ""American"": """",
        ""Amber"": """",
        ""/"": """",
        ""Strong"": """",
        ""6.20"": """",
        ""%"": """"
    },
    ""counterfactual_explanation_2"": {
        ""Red"": """",
        ""Hopper"": """",
        ""("": """",
        ""Imperial"": """",
        ""Ale"": """",
        "")"": """",
        ""Black"": """",
        ""Acre"": """",
        ""Brewing"": ""Pub"",
        ""Co."": """",
        ""."": """",
        ""American"": """",
        ""Amber"": ""and"",
        ""/"": """",
        ""Strong"": """",
        ""6.20"": """",
        ""%"": ""8.79""
    }
}
```"
