,id,pred1,pred2,label,agree,kt,cos_sim
0,0,0,0,False,True,0.911111111111111,0.7921318941081134
1,1,0,0,False,True,-0.1111111111111111,0.7111952812139224
2,2,0,0,False,True,-0.15555555555555553,0.8634469235189012
3,3,0,0,False,True,0.4222222222222222,0.8737145946946612
4,4,0,0,False,True,0.3333333333333333,0.9333333333333332
5,5,0,0,False,True,0.06666666666666667,0.851485086684671
6,6,0,0,False,True,0.1111111111111111,0.8975881505553809
7,7,0,0,True,True,-0.7999999999999999,0.0
8,8,0,0,False,True,0.15555555555555553,0.8630144693469346
9,9,1,1,True,True,0.15555555555555553,0.7507477407089196
