,left,right,answer
0,"ltable_Beer_Name:Bulleit Bourbon Barrel Aged G'Knight
ltable_Brew_Factory_Name:Oskar Blues Grill & Brew
ltable_Style:American Amber / Red Ale
ltable_ABV:8.70 %","rtable_Beer_Name:Figure Eight Bourbon Barrel Aged Jumbo Love
rtable_Brew_Factory_Name:Figure Eight Brewing
rtable_Style:Barley Wine
rtable_ABV:-","Here's an example response with dummy values for saliency scores and counterfactual explanations:

```
{
  ""match"": ""no"",
  ""saliency_explanation"": {
    ""ltable_Beer_Name"": 0.2,
    ""ltable_Brew_Factory_Name"": 0.05,
    ""ltable_Style"": 0.3,
    ""ltable_ABV"": 0.1,
    ""rtable_Beer_Name"": 0.25,
    ""rtable_Brew_Factory_Name"": 0.15,
    ""rtable_Style"": 0.05,
    ""rtable_ABV"": 0.1
  },
  ""counterfactual_explanation"": {
    ""ltable_Beer_Name"": ""Figure Eight Bourbon Barrel Aged Jumbo Love"",
    ""ltable_Brew_Factory_Name"": ""Figure Eight Brewing"",
    ""ltable_Style"": ""Barley Wine"",
    ""ltable_ABV"": ""-"",
    ""rtable_Beer_Name"": ""Bulleit Bourbon Barrel Aged G'Knight"",
    ""rtable_Brew_Factory_Name"": ""Oskar Blues Grill & Brew"",
    ""rtable_Style"": ""American Amber / Red Ale"",
    ""rtable_ABV"": ""8.70 %""
  }
}
```

The `match` field indicates whether the two records match or not. In this case, the model has predicted that the records do not match.

The `saliency_explanation` field contains the saliency scores for each attribute in both records. These scores represent the importance of each attribute in the model's decision-making process. In this example, the model has placed the highest importance on `ltable_Style` and `rtable_Beer_Name`.

The `counterfactual_explanation` field contains the counterfactual explanation values for each attribute in both records. These values represent what the attribute values would need to be in order for the model to predict a match between the records. In this example, the counterfactual explanation suggests that if the `ltable_Beer_Name` and `ltable_Brew_Factory_Name` attributes were changed to match those of record2, and the `ltable_Style` and `ltable_ABV` attributes were changed to match those of record1, the model would predict a match."
1,"ltable_Beer_Name:Double Dragon Imperial Red Ale
ltable_Brew_Factory_Name:Phillips Brewing Company
ltable_Style:American Amber / Red Ale
ltable_ABV:8.20 %","rtable_Beer_Name:Scuttlebutt Mateo Loco Imperial Red Ale
rtable_Brew_Factory_Name:Scuttlebutt Brewing Co. .
rtable_Style:American Strong Ale
rtable_ABV:7.10 %","Here's an example response in JSON format:

```
{
  ""matching"": false,
  ""saliency_explanation"": {
    ""ltable_Beer_Name"": 0.2,
    ""ltable_Brew_Factory_Name"": 0.1,
    ""ltable_Style"": 0.3,
    ""ltable_ABV"": 0.4
  },
  ""counterfactual_explanation"": {
    ""ltable_Beer_Name"": ""Scuttlebutt Mateo Loco Imperial Red Ale"",
    ""ltable_Brew_Factory_Name"": ""Scuttlebutt Brewing Co."",
    ""ltable_Style"": ""American Strong Ale"",
    ""ltable_ABV"": ""7.10 %""
  }
}
```

In this example, the model predicts that the two records do not match. The saliency explanation table shows the saliency scores for each input attribute, with the ABV attribute having the highest score of 0.4, indicating that it was the most important attribute in the model's decision. The counterfactual explanation table shows the altered input values for each attribute that would cause the model's prediction to flip, suggesting that changing the beer name, brewery name, and beer style to match the second record, and decreasing the ABV to 7.10%, would result in a matching prediction."
2,"ltable_Beer_Name:Honey Basil Amber
ltable_Brew_Factory_Name:Rude Hippo Brewing Company
ltable_Style:American Amber / Red Ale
ltable_ABV:7.40 %","rtable_Beer_Name:Rude Hippo Honey Basil Amber
rtable_Brew_Factory_Name:18th Street Brewery
rtable_Style:Amber Ale
rtable_ABV:7.40 %","Here's a sample response in JSON format:

```
{
    ""matching"": true,
    ""saliency_explanation"": {
        ""ltable_Beer_Name"": 0.8,
        ""ltable_Brew_Factory_Name"": 0.2,
        ""ltable_Style"": 0.6,
        ""ltable_ABV"": 0.4,
        ""rtable_Beer_Name"": 0.8,
        ""rtable_Brew_Factory_Name"": 0.2,
        ""rtable_Style"": 0.6,
        ""rtable_ABV"": 0.4
    },
    ""counterfactual_explanation"": {
        ""ltable_Beer_Name"": ""Rude Hippo Honey Basil Amber"",
        ""ltable_Brew_Factory_Name"": ""18th Street Brewery"",
        ""ltable_Style"": ""Amber Ale"",
        ""ltable_ABV"": ""7.40 %"",
        ""rtable_Beer_Name"": ""Honey Basil Amber"",
        ""rtable_Brew_Factory_Name"": ""Rude Hippo Brewing Company"",
        ""rtable_Style"": ""American Amber / Red Ale"",
        ""rtable_ABV"": ""7.40 %""
    }
}
```

The saliency explanation shows the saliency score for each attribute in both records. The scores indicate the importance of each attribute in the matching decision. The counterfactual explanation shows the attribute values that would need to be changed in each record to flip the matching decision."
3,"ltable_Beer_Name:Clifford 's Big Red Ale
ltable_Brew_Factory_Name:Funky Buddha Brewery
ltable_Style:American Amber / Red Ale
ltable_ABV:9.70 %","rtable_Beer_Name:Big Island Red Giant Ale
rtable_Brew_Factory_Name:Big Island Brewhaus
rtable_Style:American Strong Ale
rtable_ABV:6.50 %","Here is a sample response in json format:

```
{
  ""matching"": false,
  ""saliency_explanation"": {
    ""ltable_Beer_Name"": 0.2,
    ""ltable_Brew_Factory_Name"": 0.4,
    ""ltable_Style"": 0.1,
    ""ltable_ABV"": 0.3
  },
  ""counterfactual_explanation"": {
    ""ltable_Beer_Name"": ""Big Island Red Giant Ale"",
    ""ltable_Brew_Factory_Name"": ""Big Island Brewhaus"",
    ""ltable_Style"": ""American Strong Ale"",
    ""ltable_ABV"": ""6.50 %""
  }
}
```

In this example, the AI model predicts that the two records do not match. The saliency explanation table shows the saliency scores for each attribute, indicating that the ""ltable_Brew_Factory_Name"" attribute had the highest saliency score. This suggests that the model relied heavily on the brewery name to make its decision. The counterfactual explanation table shows the altered input for each attribute that would have changed the model's prediction. In this case, changing the ""ltable_Beer_Name"", ""ltable_Brew_Factory_Name"", ""ltable_Style"", and ""ltable_ABV"" attributes to the values in the second record would have resulted in a matching prediction."
4,"ltable_Beer_Name:Real McCoy Amber Ale
ltable_Brew_Factory_Name:Mammoth Brewing Company
ltable_Style:American Amber / Red Ale
ltable_ABV:4.50 %","rtable_Beer_Name:Mammoth Real McCoy Amber Ale
rtable_Brew_Factory_Name:Mammoth Brewing Company
rtable_Style:Altbier
rtable_ABV:4.50 %","Here is the response in a JSON format:

```
{
  ""matching"": true,
  ""saliency_explanation"": {
    ""ltable_Beer_Name"": 0.2,
    ""ltable_Brew_Factory_Name"": 0.8,
    ""ltable_Style"": 0.1,
    ""ltable_ABV"": 0.3
  },
  ""counterfactual_explanation"": {
    ""ltable_Beer_Name"": ""Real McCoy Amber Ale"",
    ""ltable_Brew_Factory_Name"": ""Mammoth Brewing Company"",
    ""ltable_Style"": ""American Amber / Red Ale"",
    ""ltable_ABV"": ""4.50 %""
  }
}
```

Explanation:
- The AI model predicts that the two records match (matching: true).
- The saliency explanation table shows the saliency scores for each attribute in the left table. The Brew Factory Name attribute has the highest score (0.8), indicating that it is the most important attribute for the model's decision. The ABV attribute has the second-highest score (0.3), followed by the Beer Name attribute (0.2) and the Style attribute (0.1).
- The counterfactual explanation table shows the original values of the attributes in the left table, indicating that no changes were made to the input data."
5,"ltable_Beer_Name:Aqula American Amber Ale
ltable_Brew_Factory_Name:Bier Kaffee Aqula
ltable_Style:American Amber / Red Ale
ltable_ABV:4.50 %","rtable_Beer_Name:Heavy Seas Desert Island Series American Honey Amber Ale
rtable_Brew_Factory_Name:Heavy Seas Brewing Company
rtable_Style:Amber Ale
rtable_ABV:4.90 %","Here is the response in JSON format:

```
{
  ""matching"": false,
  ""saliency_explanation"": {
    ""ltable_Beer_Name"": 0.2,
    ""ltable_Brew_Factory_Name"": 0.3,
    ""ltable_Style"": 0.4,
    ""ltable_ABV"": 0.1,
    ""rtable_Beer_Name"": 0.1,
    ""rtable_Brew_Factory_Name"": 0.3,
    ""rtable_Style"": 0.4,
    ""rtable_ABV"": 0.2
  },
  ""counterfactual_explanation"": {
    ""ltable_Beer_Name"": ""Heavy Seas Desert Island Series American Honey Amber Ale"",
    ""ltable_Brew_Factory_Name"": ""Heavy Seas Brewing Company"",
    ""ltable_Style"": ""Amber Ale"",
    ""ltable_ABV"": ""4.90%"",
    ""rtable_Beer_Name"": ""Aqula American Amber Ale"",
    ""rtable_Brew_Factory_Name"": ""Bier Kaffee Aqula"",
    ""rtable_Style"": ""American Amber / Red Ale"",
    ""rtable_ABV"": ""4.50%""
  }
}
```

Explanation:

- The ""matching"" field indicates that the two records do not match.
- The ""saliency_explanation"" field contains the saliency scores for each attribute in both records. The scores indicate the importance of each attribute in the decision-making process. In this case, the ""ltable_Style"" and ""rtable_Style"" attributes have the highest scores, indicating that they are the most important attributes in determining whether the records match or not.
- The ""counterfactual_explanation"" field contains the counterfactual explanations for each attribute. This means that we have changed the value of each attribute in one record to match the value in the other record, in order to see how the matching prediction would change. In this case, we have swapped the values of all attributes between the two records, resulting in a matching prediction."
6,"ltable_Beer_Name:Rocket City Red
ltable_Brew_Factory_Name:Straight To Ale
ltable_Style:American Amber / Red Ale
ltable_ABV:5.00 %","rtable_Beer_Name:Sawdust City Red Rocket Coffee Spiced Stout
rtable_Brew_Factory_Name:Sawdust City Brewing Company
rtable_Style:Spice/Herb/Vegetable
rtable_ABV:5.20 %","Here is the response:

```
{
    ""matching"": false,
    ""saliency_explanation"": {
        ""ltable_Beer_Name"": 0.1,
        ""ltable_Brew_Factory_Name"": 0.05,
        ""ltable_Style"": 0.3,
        ""ltable_ABV"": 0.55,
        ""rtable_Beer_Name"": 0.2,
        ""rtable_Brew_Factory_Name"": 0.1,
        ""rtable_Style"": 0.6,
        ""rtable_ABV"": 0.1
    },
    ""counterfactual_explanation"": {
        ""ltable_Beer_Name"": ""Sawdust City Red Rocket Coffee Spiced Stout"",
        ""ltable_Brew_Factory_Name"": ""Sawdust City Brewing Company"",
        ""ltable_Style"": ""Spice/Herb/Vegetable"",
        ""ltable_ABV"": ""5.20 %"",
        ""rtable_Beer_Name"": ""Rocket City Red"",
        ""rtable_Brew_Factory_Name"": ""Straight To Ale"",
        ""rtable_Style"": ""American Amber / Red Ale"",
        ""rtable_ABV"": ""5.00 %""
    }
}
```

Explanation:
- The `matching` field is `false`, indicating that the two records do not match.
- The `saliency_explanation` field shows the saliency scores for each attribute in both records. The model paid the most attention to the `ltable_ABV` attribute in the left table and the `rtable_Style` attribute in the right table to make its decision.
- The `counterfactual_explanation` field shows the counterfactual explanation values for each attribute in both records. These are the values that would need to be changed in order for the model's prediction to flip. In this case, the `ltable_Beer_Name`, `ltable_Brew_Factory_Name`, `ltable_Style`, and `ltable_ABV` attributes would need to be changed to their corresponding values in the right table, and the `rtable_Beer_Name`, `rtable_Brew_Factory_Name`, `rtable_Style`, and `rtable_ABV` attributes would need to be changed to their corresponding values in the left table."
7,"ltable_Beer_Name:Jazz Beer Tarraco Amber
ltable_Brew_Factory_Name:Tarraco Beer
ltable_Style:American Amber / Red Ale
ltable_ABV:6.90 %","rtable_Beer_Name:Jazz Beer Tarraco Amber
rtable_Brew_Factory_Name:Ca l_Arenys - Cervezas Guineu
rtable_Style:Amber Ale
rtable_ABV:6.90 %","Here's your response in JSON format:

```
{
  ""matching"": true,
  ""saliency_explanation"": {
    ""ltable_Beer_Name"": 0.48,
    ""ltable_Brew_Factory_Name"": 0.20,
    ""ltable_Style"": 0.18,
    ""ltable_ABV"": 0.14
  },
  ""counterfactual_explanation"": {
    ""ltable_Beer_Name"": ""Jazz Beer Tarraco Amber"",
    ""ltable_Brew_Factory_Name"": ""Tarraco Beer"",
    ""ltable_Style"": ""American Amber / Red Ale"",
    ""ltable_ABV"": ""6.90 %""
  }
}
```

The model predicts that the two records match. The saliency explanation shows that the `ltable_Beer_Name` attribute has the highest saliency score, indicating that it is the most important attribute in the decision-making process. The `ltable_Brew_Factory_Name` and `ltable_Style` attributes also have relatively high saliency scores, while the `ltable_ABV` attribute has the lowest score. The counterfactual explanation shows that if any of the attributes were changed, the model would still predict a match."
8,"ltable_Beer_Name:Twisted Stick Amber Ale
ltable_Brew_Factory_Name:Portneuf Valley Brewing
ltable_Style:American Amber / Red Ale
ltable_ABV:-","rtable_Beer_Name:Sick N Twisted Pleasure Victim Amber Ale
rtable_Brew_Factory_Name:Sick N Twisted Brewing Company
rtable_Style:Amber Ale
rtable_ABV:5.50 %","Here is the response in JSON format:

```
{
    ""matching"": false,
    ""saliency_explanation"": {
        ""ltable_Beer_Name"": 0.2,
        ""ltable_Brew_Factory_Name"": 0.1,
        ""ltable_Style"": 0.3,
        ""ltable_ABV"": 0.1,
        ""rtable_Beer_Name"": 0.3,
        ""rtable_Brew_Factory_Name"": 0.1,
        ""rtable_Style"": 0.4,
        ""rtable_ABV"": 0.1
    },
    ""counterfactual_explanation"": {
        ""ltable_Beer_Name"": ""Sick N Twisted Pleasure Victim Amber Ale"",
        ""ltable_Brew_Factory_Name"": ""Sick N Twisted Brewing Company"",
        ""ltable_Style"": ""Amber Ale"",
        ""ltable_ABV"": ""5.50 %"",
        ""rtable_Beer_Name"": ""Twisted Stick Amber Ale"",
        ""rtable_Brew_Factory_Name"": ""Portneuf Valley Brewing"",
        ""rtable_Style"": ""American Amber / Red Ale"",
        ""rtable_ABV"": ""-""
    }
}
```

In this case, the model predicts that the two records do not match. The saliency explanation indicates that the most important attributes for this decision are the rtable_Beer_Name and rtable_Style. The counterfactual explanation shows that if we were to swap the values of the Beer Name and Style attributes between the two records, the model would predict that they match."
9,"ltable_Beer_Name:Red Hopper ( Imperial Red Ale )
ltable_Brew_Factory_Name:Black Acre Brewing Co. .
ltable_Style:American Amber / Red Ale
ltable_ABV:6.20 %","rtable_Beer_Name:Brannon_s Deputation Imperial Red Ale
rtable_Brew_Factory_Name:Brannon_s Pub and Brewery
rtable_Style:American Strong Ale
rtable_ABV:8.79 %","Here's an example response in JSON format:

```
{
    ""matching"": false,
    ""saliency_explanation"": {
        ""ltable_Beer_Name"": 0.1,
        ""ltable_Brew_Factory_Name"": 0.05,
        ""ltable_Style"": 0.2,
        ""ltable_ABV"": 0.65,
        ""rtable_Beer_Name"": 0.15,
        ""rtable_Brew_Factory_Name"": 0.1,
        ""rtable_Style"": 0.2,
        ""rtable_ABV"": 0.5
    },
    ""counterfactual_explanation"": {
        ""ltable_Beer_Name"": ""Brannon_s Deputation Imperial Red Ale"",
        ""ltable_Brew_Factory_Name"": ""Brannon_s Pub and Brewery"",
        ""ltable_Style"": ""American Strong Ale"",
        ""ltable_ABV"": ""8.79 %"",
        ""rtable_Beer_Name"": ""Red Hopper ( Imperial Red Ale )"",
        ""rtable_Brew_Factory_Name"": ""Black Acre Brewing Co. ."",
        ""rtable_Style"": ""American Amber / Red Ale"",
        ""rtable_ABV"": ""6.20 %""
    }
}
```

In this example, the model predicts that the two records do not match. The saliency explanation table shows the saliency scores for each attribute in both records. The counterfactual explanation table shows an example of how the records could be altered to make the model predict a match. In this case, the beer names, brewery names, styles, and ABVs are swapped between the two records."
