,id,pred1,pred2,label,agree,kt,cos_sim
0,0,0,0,False,True,0.9999999999999998,0.8658966363457989
1,1,0,0,False,True,0.9999999999999998,0.9174166160749154
2,2,1,1,True,True,0.3333333333333334,0.9221388919541468
3,3,0,0,False,True,0.2857142857142857,0.8581163303210332
4,4,0,0,True,True,0.4999999999999999,0.8406680016960503
5,5,0,0,False,True,0.21428571428571427,1.0
6,6,0,0,False,True,-0.2857142857142857,1.0000000000000002
7,7,1,1,True,True,0.0,0.9814814814814815
8,8,0,0,False,True,-0.14285714285714285,0.9194744451420719
9,9,0,0,False,True,1.0,0.0
