,total_time,tokens,predictions,top_k,faithfulness,model,dataset,uncerta(freq)_sample,uncerta(union)_sample,uncerta(intersection)_sample
0,1462.5847961902618,3022804.6,59253.0,3,{'uncerta(freq)_sample': 0.0},uncerta(freq)_sample,abt_buy,"{'validity': 0.9999999999, 'proximity': 0.49999999995, 'sparsity': 0.8749999999125, 'diversity': 0.0}",,
1,1493.3301470279694,5443209.6,106644.6,3,{'uncerta(union)_sample': 0.0},uncerta(union)_sample,abt_buy,,"{'validity': 0.99999999995, 'proximity': 0.6666666666333334, 'sparsity': 0.8333333332916666, 'diversity': 0.0}",
2,1385.0202691555023,7290875.4,142792.2,3,{'uncerta(intersection)_sample': 0.0},uncerta(intersection)_sample,abt_buy,,,"{'validity': 0.9999999999, 'proximity': 0.6666666666000001, 'sparsity': 0.8333333332499999, 'diversity': 0.0}"
3,12165.863171100616,12373951.2,241145.2,3,{'uncerta(freq)_sample': 0.0},uncerta(freq)_sample,beers,"{'validity': 0.0, 'proximity': 0.1249999999875, 'sparsity': 0.9749999999025, 'diversity': 0.0}",,
4,3332.8051970005035,18427012.6,358283.0,3,{'uncerta(union)_sample': 0.0},uncerta(union)_sample,beers,,"{'validity': 0.0, 'proximity': 0.1249999999875, 'sparsity': 0.9749999999025, 'diversity': 0.0}",
5,4977.570000886917,24466995.4,475164.8,3,{'uncerta(intersection)_sample': 0.0},uncerta(intersection)_sample,beers,,,"{'validity': 0.0, 'proximity': 0.1249999999875, 'sparsity': 0.9749999999025, 'diversity': 0.0}"
6,46858.13898706436,35702911.0,695453.6,3,{'uncerta(freq)_sample': 0.0},uncerta(freq)_sample,amazon_google,"{'validity': 0.0, 'proximity': 0.0, 'sparsity': 0.0, 'diversity': 0.0}",,
7,5084.54651427269,47666709.4,930012.0,3,{'uncerta(union)_sample': 0.0},uncerta(union)_sample,amazon_google,,"{'validity': 0.0, 'proximity': 0.0, 'sparsity': 0.0, 'diversity': 0.0}",
8,3891.3150119781494,59643783.4,1164831.0,3,{'uncerta(intersection)_sample': 0.0},uncerta(intersection)_sample,amazon_google,,,"{'validity': 0.0, 'proximity': 0.0, 'sparsity': 0.0, 'diversity': 0.0}"
9,9429.272727966309,62610790.4,1222986.6,3,{'uncerta(freq)_sample': 0.0},uncerta(freq)_sample,fodo_zaga,"{'validity': 0.0, 'proximity': 0.2499999999875, 'sparsity': 0.9642857142375, 'diversity': 0.0}",,
10,2024.975908756256,65614363.2,1281852.4,3,{'uncerta(union)_sample': 0.0},uncerta(union)_sample,fodo_zaga,,"{'validity': 0.0, 'proximity': 0.2499999999875, 'sparsity': 0.9642857142375, 'diversity': 0.0}",
11,1034.5789079666138,68571020.2,1339800.6,3,{'uncerta(intersection)_sample': 0.0},uncerta(intersection)_sample,fodo_zaga,,,"{'validity': 0.0, 'proximity': 0.2499999999875, 'sparsity': 0.9642857142375, 'diversity': 0.0}"
12,514.5244519710541,68902046.6,1346234.2,3,{'uncerta(freq)_sample': 0.0},uncerta(freq)_sample,walmart_amazon,"{'validity': 0.9999999999666667, 'proximity': 0.3999999999866666, 'sparsity': 0.9333333333022221, 'diversity': 0.0}",,
13,217.32893300056458,69233697.2,1352674.8,3,{'uncerta(union)_sample': 0.0},uncerta(union)_sample,walmart_amazon,,"{'validity': 0.9999999999666667, 'proximity': 0.3999999999866666, 'sparsity': 0.9333333333022221, 'diversity': 0.0}",
14,155.25924682617188,69377034.8,1355433.2,3,{'uncerta(intersection)_sample': 0.0},uncerta(intersection)_sample,walmart_amazon,,,"{'validity': 0.9999999999666667, 'proximity': 0.3999999999866666, 'sparsity': 0.9333333333022221, 'diversity': 0.0}"
