,id,pred1,pred2,label,agree,kt,cos_sim
0,0,0,0,False,True,-0.03643724696356276,0.9490663599086857
1,1,0,0,False,True,1.0,1.0000000000000002
2,2,0,0,False,True,0.2580392156862746,0.7596752716016161
3,3,0,0,True,True,0.029268292682926828,0.9637707212505044
4,4,0,0,False,True,0.07412587412587412,0.0
5,5,0,0,False,True,0.2352941176470588,0.0
6,6,0,0,False,True,0.33333333333333337,0.0
7,7,0,0,False,True,0.03448275862068965,0.926415607090829
8,8,0,0,False,True,-0.14871794871794874,0.9300699300699301
9,9,0,0,False,True,-0.20833333333333334,0.0
