ltable_id,rtable_id,label
17014053,13812379,0
15045487,1567262,0
9571796,12112900,0
14251295,3322087,0
769348,10589615,1
10175284,5987956,0
6498478,15400530,0
16313076,7821002,0
17456440,2095477,0
12038042,13243576,1
2590253,13164832,0
15110029,15875722,0
12076340,14048627,0
11040508,9100023,1
13762283,15831225,1
17456440,8813618,1
1293402,11943551,0
7039519,484885,0
16728585,7652495,0
1875363,2562029,0
14751171,8328955,0
15746511,10698508,0
7642223,1787555,0
9631632,8047082,0
2585201,5465628,1
859934,13400575,0
9329646,9224942,0
4348152,11866787,0
13974274,5662646,1
4449528,14391226,0
4999842,1994786,1
12258531,7128718,0
1635082,16661617,0
14847884,15324054,0
10757160,14095794,0
2069632,5703811,0
510410,221736,0
607580,17297549,1
10232727,816280,0
13849861,7489039,0
8549281,6413821,0
16163239,1240114,0
1506808,9096920,0
17557448,2359349,0
9953065,11764144,1
5134360,1899421,0
17525764,14211245,0
2715756,16616492,1
3491703,1582923,1
7059459,8043328,1
10752660,4475985,1
14470833,17113950,1
17557423,17237080,0
14211245,4569000,1
14411849,3274363,0
1421334,10698508,1
5693910,860833,0
4013754,4110466,0
12494058,7645829,1
17550909,8032353,0
13955538,16044860,1
860833,10343826,0
5365731,9349542,1
1586676,4721504,0
3744188,6345496,0
1251162,2512923,0
14889240,12804803,0
12719828,6546534,0
2679850,3428141,0
6425822,14392873,0
3522820,4134534,0
2868097,10338879,0
12337494,7792839,0
17557491,12367349,0
11574481,16000966,1
16313076,5791463,0
1582923,17052741,0
2485522,12880149,0
16044860,8386712,0
12083345,1153475,0
8495855,3326919,0
12196521,4606551,0
12091517,13352277,1
4425616,12337494,0
14081669,6158603,0
4754122,14204679,1
14514581,8146354,0
12890941,15941456,0
14935845,4077154,0
16231484,9301281,0
15877766,6739927,0
11343907,14922646,0
5837980,4512878,1
10564713,12839742,0
361811,4816308,0
11558243,7128718,0
17009083,12129996,0
8062783,936942,0
11306793,5844222,0
16353600,14136512,0
9522982,14770310,0
3665630,9096920,0
2712674,5713859,0
16768269,5357542,0
13797044,3393213,0
17014053,17341144,1
8458295,9647378,0
14177404,16433013,0
15765464,15748392,0
17419795,5455689,0
15984074,12375954,1
8902994,16155570,0
12027392,10044982,0
10073394,7839036,0
925343,574449,0
5411052,10969417,1
6417543,7398831,0
3850881,8083197,0
14748032,2832609,1
14915810,2219168,1
12080678,6041430,0
2406410,1725119,0
13010224,6196685,0
10615212,3613987,0
3763762,16305107,0
1871505,14748032,0
59357,12153125,0
3650755,16650650,0
15941456,4721504,0
15374082,485151,1
2679850,17557474,1
301833,13163970,0
8340235,8670972,1
13157632,17341144,0
6647917,16730711,0
16498287,7578526,0
16054866,4159084,0
10228146,5936023,0
2562029,1871505,0
12328067,9357365,0
12647769,10615493,0
10527670,11221782,1
17115723,13397429,0
9227140,10111056,1
2110611,10044982,0
4348152,3966550,0
3230904,6685115,0
14411849,8297897,1
14233699,11061594,1
13647381,17477920,0
7687441,6196685,0
14248632,3398934,0
8047082,14766757,0
3288266,11557057,0
50240,11316224,0
2694154,12337494,0
10496597,13223971,0
4417320,9253029,0
16274115,4435707,1
2715756,13564856,0
4449528,4308585,1
7508543,13010224,0
10788437,7262812,0
17557347,9458666,0
14411849,10673300,0
13616278,14004597,0
8589343,5634120,0
7835152,2103106,0
15451384,17343343,0
15758365,4528116,0
11417250,5136014,0
11866787,5593634,1
10608740,5053266,0
7984781,3420257,0
276921,17125276,0
3904078,13842823,0
8321743,9483803,1
10089009,12241291,0
2909604,3236647,0
13211937,12975236,0
13417676,10768308,0
10807593,812811,0
3157374,470022,0
5433556,15049992,0
5791463,16254611,0
6158772,936942,0
6432730,12908118,0
8107551,8616389,1
13186644,10044982,0
3807900,15875931,0
13326345,14107318,0
15746347,14510124,1
7796742,16551720,0
11285711,7262812,0
12162389,15748392,0
4086137,8346520,1
14749052,6442324,0
3288197,13157632,1
8458295,5139214,1
3634099,103083,0
7398831,3325314,0
606028,1135435,0
9689770,1590978,1
6026991,14687092,0
9159145,13746863,0
7605702,2114851,0
8398748,15882768,1
17557305,15653169,0
2898903,3420257,1
16745297,17357114,1
12908118,2104030,0
7895691,4887430,0
5121746,6237463,0
11212041,9227140,0
12054011,5169389,0
16689258,4923291,0
15853432,9163464,1
16254611,16313076,0
103083,6026072,0
13078076,8205627,0
5053266,17107954,1
12932411,9470364,1
5816455,9243434,1
12310261,15609064,1
12616151,860833,0
10969417,9862121,0
15645369,3444592,0
8342718,17052741,0
16579903,15320437,1
1930487,17557500,0
5299323,17357114,0
13661528,2502461,1
14847884,16661617,0
1715224,7265181,1
10788437,16106363,0
2345785,17237080,0
2114851,10586219,0
11671000,13647381,1
16115558,16892729,0
9018389,4934896,0
12622524,12744112,1
5208785,6822663,1
7344824,9822294,0
17138014,11633002,0
14133370,14192772,0
11545130,11183014,0
9558228,2776918,0
14874129,10564713,0
13290480,3245876,0
13675759,17210515,0
16163239,8179537,0
15744111,9704726,0
5406052,3839154,0
820446,14720109,0
13291675,7335136,0
10987657,12919710,1
13037622,899779,0
16649896,3575371,0
1273232,12706780,0
15967382,3139183,0
16650650,12367349,0
8309629,16163239,1
7699963,16332618,0
12804267,812811,0
5351313,105407,0
7580769,8047082,0
10574673,13301586,0
11096831,1481096,0
12126198,16128715,0
12122446,5768723,0
12517256,6876666,1
6108450,14632264,0
907507,13281569,0
12328067,11363979,0
2069632,9118475,0
14361124,1100567,0
17007121,13699691,0
7424565,4013754,0
6616613,3731864,0
13062996,700540,1
1131815,10664046,0
11998371,7251083,1
655273,371106,0
13917301,14260331,1
1449558,7359917,0
12932411,1461863,0
12708243,13450602,0
6290844,1746985,0
16537225,9324126,1
10896354,10560260,0
6908369,3575371,1
2814747,13124077,0
14607535,3645220,0
11860347,7692601,0
8723176,11888691,0
12699039,1352627,1
11160694,6577290,0
17557411,1745535,0
2897260,5662646,0
16274115,3139183,0
2909604,1135435,0
2752173,13281569,0
9453862,15434592,1
5749613,363640,1
1925996,17237080,0
13239723,4790516,1
3776859,8062783,0
7573392,5910958,0
5259780,8986605,0
3102673,3185346,0
13579422,5779013,0
16010225,13979393,1
4111616,12032083,0
6286588,16819828,0
2757343,16650650,1
4427222,5122027,0
16927509,4759746,1
6026072,10290261,0
13318461,7942863,0
6063757,15424489,1
13700662,10510866,1
15625744,6825171,1
11507845,10044982,0
12685650,12995532,0
12745187,7839036,0
1219181,14392873,0
9458666,12057549,0
10884389,11212041,1
13918350,14950126,0
11899110,14550671,0
2192424,5455689,1
12218203,3062867,0
6193430,3850881,0
13584811,17237080,0
4105663,14906582,0
2864402,2952275,0
361811,6516542,1
17482313,6425064,0
3634099,7631953,0
16254611,9096671,0
5211440,13246341,0
17183498,3960627,0
