,id,pred1,pred2,label,agree,kt,cos_sim
0,0,0,0,False,True,-0.8666666666666666,0.7151985398521515
1,1,0,0,False,True,,0.0
2,2,0,0,False,True,0.3333333333333333,0.6019292654288461
3,3,0,0,False,True,0.6,0.827170191868511
4,4,1,0,False,False,0.8666666666666666,0.6508140266182865
5,5,0,0,False,True,0.06666666666666665,0.6708203932499369
6,6,0,0,False,True,0.2,0.6668859288553501
7,7,0,0,False,True,-0.4666666666666666,0.2508726030021272
8,8,1,0,False,False,-0.4666666666666666,0.36842105263157887
9,9,0,0,False,True,0.6,0.6668859288553501
10,10,0,0,False,True,,0.0
11,11,0,0,False,True,-0.2,0.27695585470349865
12,12,0,0,False,True,0.6,0.827170191868511
13,13,1,0,False,False,0.6,0.6668859288553501
14,14,0,0,False,True,0.9999999999999999,0.6668859288553501
