,total_time,tokens,predictions,top_k,faithfulness,model,dataset,hybrid_diff_(freq)_sample,hybrid_diff_(union)_sample,hybrid_diff_(intersection)_sample
0,112.84828495979309,381130.0,5759.6,3,{'hybrid_diff_(freq)_sample': 0.0},hybrid_diff_(freq)_sample,abt_buy,"{'validity': 0.0, 'proximity': 0.0, 'sparsity': 0.0, 'diversity': 0.0}",,
1,0.16664505004882812,381470.4,5763.6,3,{'hybrid_diff_(union)_sample': 0.0},hybrid_diff_(union)_sample,abt_buy,,"{'validity': 0.0, 'proximity': 0.0, 'sparsity': 0.0, 'diversity': 0.0}",
2,5.318428993225098,399408.6,6067.2,3,{'hybrid_diff_(intersection)_sample': 0.0},hybrid_diff_(intersection)_sample,abt_buy,,,"{'validity': 0.0, 'proximity': 0.0, 'sparsity': 0.0, 'diversity': 0.0}"
3,1327.9712209701538,437382.6,6762.2,3,{'hybrid_diff_(freq)_sample': 0.0},hybrid_diff_(freq)_sample,beers,"{'validity': 0.0, 'proximity': 0.0, 'sparsity': 0.0, 'diversity': 0.0}",,
4,0.15952682495117188,437685.2,6766.2,3,{'hybrid_diff_(union)_sample': 0.0},hybrid_diff_(union)_sample,beers,,"{'validity': 0.0, 'proximity': 0.0, 'sparsity': 0.0, 'diversity': 0.0}",
5,385.69444489479065,483810.8,7561.4,3,{'hybrid_diff_(intersection)_sample': 0.0},hybrid_diff_(intersection)_sample,beers,,,"{'validity': 0.0, 'proximity': 0.0, 'sparsity': 0.0, 'diversity': 0.0}"
6,23.778041124343872,512492.6,7982.2,3,{'hybrid_diff_(freq)_sample': 0.0},hybrid_diff_(freq)_sample,amazon_google,"{'validity': 0.0, 'proximity': 0.0, 'sparsity': 0.0, 'diversity': 0.0}",,
7,0.13587307929992676,512782.2,7986.2,3,{'hybrid_diff_(union)_sample': 0.0},hybrid_diff_(union)_sample,amazon_google,,"{'validity': 0.0, 'proximity': 0.0, 'sparsity': 0.0, 'diversity': 0.0}",
8,76.98248291015625,541797.6,8514.0,3,{'hybrid_diff_(intersection)_sample': 0.0},hybrid_diff_(intersection)_sample,amazon_google,,,"{'validity': 0.0, 'proximity': 0.0, 'sparsity': 0.0, 'diversity': 0.0}"
9,2254.1894357204437,675585.2,10884.6,3,{'hybrid_diff_(freq)_sample': 0.0},hybrid_diff_(freq)_sample,fodo_zaga,"{'validity': 0.0, 'proximity': 0.0, 'sparsity': 0.0, 'diversity': 0.0}",,
10,55.217708110809326,734254.6,11874.4,3,{'hybrid_diff_(union)_sample': 0.0},hybrid_diff_(union)_sample,fodo_zaga,,"{'validity': 0.0, 'proximity': 0.0, 'sparsity': 0.0, 'diversity': 0.0}",
11,1286.7071838378906,827313.2,13501.6,3,{'hybrid_diff_(intersection)_sample': 0.0},hybrid_diff_(intersection)_sample,fodo_zaga,,,"{'validity': 0.0, 'proximity': 0.0, 'sparsity': 0.0, 'diversity': 0.0}"
12,674.9775130748749,934483.2,15266.0,3,{'hybrid_diff_(freq)_sample': 0.0},hybrid_diff_(freq)_sample,walmart_amazon,"{'validity': 0.0, 'proximity': 0.0, 'sparsity': 0.0, 'diversity': 0.0}",,
13,23.332443237304688,988166.6,16131.8,3,{'hybrid_diff_(union)_sample': 0.0},hybrid_diff_(union)_sample,walmart_amazon,,"{'validity': 0.0, 'proximity': 0.0, 'sparsity': 0.0, 'diversity': 0.0}",
14,5818.472941875458,1083560.8,17772.4,3,{'hybrid_diff_(intersection)_sample': 0.0},hybrid_diff_(intersection)_sample,walmart_amazon,,,"{'validity': 0.0, 'proximity': 0.0, 'sparsity': 0.0, 'diversity': 0.0}"
