,id,pred1,pred2,label,agree,kt,cos_sim
0,0,0,0,False,True,0.303030303030303,0.7379024325749306
1,1,1,1,True,True,-0.2121212121212121,0.8153742483272114
2,2,0,0,False,True,0.4242424242424242,0.7844645405527362
3,3,1,1,True,True,-0.2,0.0
4,5,0,0,False,True,-0.0606060606060606,0.6862450236920772
5,6,0,0,False,True,0.7878787878787877,0.8534918135881966
6,7,0,0,False,True,0.8484848484848484,0.8677218312746245
7,8,1,1,True,True,-0.7333333333333333,0.7751332793988406
8,9,0,0,False,True,0.303030303030303,0.8389450690175305
9,10,0,0,False,True,0.303030303030303,0.8596023825918793
10,11,0,0,False,True,0.9696969696969696,0.0
11,12,0,0,False,True,0.7878787878787877,0.0
12,13,0,0,False,True,0.7272727272727272,0.8131249357707346
13,14,0,0,False,True,0.7272727272727272,0.9767441860465116
14,15,0,0,False,True,0.6666666666666666,0.9363821838346235
15,16,0,0,False,True,0.6969696969696969,0.9320589306096471
16,17,0,0,False,True,0.606060606060606,0.9142857142857143
17,18,0,0,False,True,0.6969696969696969,0.8620601237389189
18,20,0,0,False,True,0.3636363636363636,0.8292884288627294
19,22,1,1,True,True,0.303030303030303,0.8618575020903775
20,25,0,0,False,True,0.5454545454545454,0.8613973647824799
21,27,0,0,False,True,0.3333333333333333,0.940403258591788
22,29,0,0,False,True,0.8484848484848484,0.9490299756787675
23,30,0,0,False,True,0.4545454545454545,0.9355285539274979
24,31,0,0,False,True,0.4242424242424242,0.7413356072232965
25,33,0,0,False,True,0.8181818181818181,0.9555555555555556
26,34,0,0,False,True,0.7575757575757575,0.9237604307034012
27,36,0,0,False,True,0.8484848484848484,0.9035146374351831
28,37,0,0,False,True,0.8484848484848484,0.0
29,38,0,0,False,True,0.3636363636363636,0.6257111957900842
30,40,0,0,False,True,0.2727272727272727,0.7396002616336388
31,41,0,0,False,True,0.5151515151515151,0.9608980497611281
32,42,0,0,False,True,0.9696969696969696,0.7097954098256227
33,43,0,0,False,True,0.6666666666666666,0.9247334560885013
34,45,0,0,False,True,0.4848484848484848,0.9473952006498568
35,46,0,0,False,True,0.606060606060606,0.8494333416446127
36,47,0,0,False,True,0.303030303030303,0.8858784221879579
37,49,0,0,False,True,0.5454545454545454,0.9139076937674137
