,id,pred1,pred2,label,agree,kt,cos_sim
0,0,0,0,False,True,,0.0
1,1,1,1,True,True,-0.0303030303030303,0.8189230248533257
2,2,0,0,False,True,,0.0
3,3,1,1,True,True,-0.2,0.0
4,4,0,0,False,True,0.0909090909090909,0.9547920752586628
5,5,0,0,False,True,0.0,0.6608480480431909
6,6,0,0,False,True,,0.0
7,7,0,0,False,True,0.5757575757575757,0.8677218312746245
8,9,0,0,False,True,,0.0
9,10,0,0,False,True,,0.0
10,11,0,0,False,True,,0.0
11,13,0,0,False,True,0.4848484848484848,0.8571428571428571
12,14,0,0,False,True,-0.39393939393939387,0.9153257875912927
13,15,0,0,False,True,0.0,0.8512565307587486
14,16,0,0,False,True,0.5151515151515151,0.8882053623194086
15,18,0,0,False,True,0.5151515151515151,0.8605305459498926
16,19,0,0,False,True,,0.0
17,20,0,0,False,True,,0.0
18,22,1,1,True,True,0.0909090909090909,0.9131067826682124
19,23,0,0,False,True,,0.0
20,24,1,1,True,True,-0.1515151515151515,0.8355316915277181
21,26,0,0,False,True,,0.0
22,32,0,0,False,True,,0.0
23,34,0,0,False,True,0.4242424242424242,0.9071147352221454
24,36,0,0,False,True,0.8181818181818181,0.9035146374351831
25,37,0,0,False,True,0.8484848484848484,0.0
26,38,0,0,False,True,,0.0
27,39,0,0,False,True,,0.0
28,40,0,0,False,True,,0.0
29,42,0,0,False,True,,0.0
30,43,0,0,False,True,0.4242424242424242,0.8833884651585509
31,44,0,0,False,True,,0.0
32,46,0,0,False,True,0.1515151515151515,0.8663791001045901
33,47,0,0,False,True,0.0909090909090909,0.8266126116286299
34,48,0,0,False,True,,0.0
