,id,pred1,pred2,label,agree,kt,cos_sim
0,0,0,0,False,True,0.9999999999999999,0.759335896713987
1,1,0,0,False,True,0.7333333333333333,0.0815022154313799
2,2,0,0,False,True,-0.06666666666666665,0.8733302669301969
3,3,0,0,True,True,0.2,0.8939088741212551
4,4,0,0,False,True,-0.06666666666666665,0.9477971771392149
5,5,0,0,False,True,-0.2,0.9208485576805804
6,6,0,0,False,True,0.7333333333333333,0.6442426124445048
7,7,0,0,False,True,0.9999999999999999,0.06176056549879612
8,8,0,0,False,True,0.7333333333333333,0.6981202342979151
9,9,0,0,False,True,-0.2,0.8821827955124139
