,id,pred1,pred2,label,agree,kt,cos_sim
0,0,0,0,False,True,0.9999999999999999,0.7826095752086644
1,1,0,0,False,True,0.8666666666666666,0.09162708326722892
2,2,0,0,False,True,0.7333333333333333,0.6650386626085942
3,3,0,0,True,True,0.7333333333333333,0.7668904285021938
4,4,0,0,False,True,0.7333333333333333,0.9287970209589215
5,6,0,0,False,True,-0.2,0.8342278327786473
6,7,0,0,False,True,-0.06666666666666665,0.9408469857989659
7,8,0,0,False,True,0.06666666666666665,0.8236697180399778
8,9,0,0,False,True,0.3333333333333333,0.6376738690206278
9,10,0,0,False,True,-0.06666666666666665,0.8607533668498877
10,11,0,0,False,True,0.8666666666666666,0.9299429515458305
11,13,0,0,False,True,0.8666666666666666,0.7203225212880765
12,14,0,0,False,True,0.7333333333333333,0.5592469952052407
13,15,0,0,False,True,0.8666666666666666,0.8818843618751995
14,17,0,0,False,True,-0.2,0.8600121237985944
15,18,0,0,False,True,0.9999999999999999,0.5396032568651468
16,19,0,0,False,True,0.9999999999999999,0.9446558779094348
