,id,pred1,pred2,label,agree,kt,cos_sim
0,0,0,0,False,True,0.9999999999999999,1.0
1,1,0,0,False,True,0.8666666666666666,0.742462120245875
2,2,0,0,False,True,0.7333333333333333,1.0
3,3,0,0,True,True,0.8666666666666666,0.8932876102665188
4,4,0,0,False,True,0.8666666666666666,1.0
5,7,0,0,False,True,-0.06666666666666665,0.07868894753646337
6,8,0,0,False,True,0.2,0.3650732614416765
7,9,0,0,False,True,0.3333333333333333,0.9622641509433962
8,10,0,0,False,True,-0.06666666666666665,0.4121811176718341
9,11,0,0,False,True,0.9999999999999999,1.0
10,13,0,0,False,True,0.9999999999999999,1.0000000000000002
11,14,0,0,False,True,0.7333333333333333,1.0
12,15,0,0,False,True,0.9999999999999999,1.0
13,17,0,0,False,True,-0.2,0.6890891473433678
14,18,0,0,False,True,0.9999999999999999,1.0
15,19,0,0,False,True,0.9999999999999999,1.0
