,id,pred1,pred2,label,agree,kt,cos_sim
0,0,0,0,False,True,0.9999999999999998,0.9999999999999999
1,1,1,1,True,True,0.303030303030303,0.848528137423857
2,2,0,0,False,True,,0.0
3,3,1,1,True,True,0.9696969696969696,0.9349469900084573
4,4,0,0,False,True,-0.1212121212121212,0.9090909090909091
5,5,0,0,False,True,0.8181818181818181,0.9246929112180866
6,6,0,0,False,True,0.2424242424242424,0.9888264649460884
7,7,0,0,False,True,0.8484848484848484,0.0
8,8,1,1,True,True,0.6969696969696969,0.8947368421052633
9,9,0,0,False,True,0.8484848484848484,0.964274111134126
