,id,pred1,pred2,label,agree,kt,cos_sim
0,0,0,0,False,True,0.9999999999999998,1.0000000000000002
1,1,0,0,False,True,0.9999999999999998,1.0
2,2,0,1,True,False,0.7142857142857142,1.0
3,3,0,0,False,True,0.9999999999999998,0.9932740843258757
4,4,0,0,True,True,0.7142857142857142,0.9999999999999999
5,5,0,0,False,True,0.7857142857142856,0.9363291775690445
6,6,0,0,False,True,,0.0
7,7,1,1,True,True,0.14285714285714285,0.8926073982886735
8,8,0,0,False,True,0.9285714285714285,1.0000000000000002
9,9,0,0,False,True,,0.0
